微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/J22bEldfO?mblogid=J22bEldfO&luicode=10000011&lfid=1076036252807875,Fri May 15 14:19:17 +0800 2020,关于北京朝阳区人民法院因劳动争议、人事争议对优信CFO曾真执行限制消费令一事，特声明如下：,13,41,1,[]
https://m.weibo.cn/status/IwMIQDjtA?mblogid=IwMIQDjtA&luicode=10000011&lfid=1076036252807875,Mon Mar 02 21:12:15 +0800 2020,对于极个别媒体发布不实报道称优信“停工”、“休克”，优信澄清：疫情期间，优信各项工作都按照防疫要求正常开展，没有停工更没有“休克”。目前，业务端交易量稳步回升，资本相关项目交易也在顺利有序推进。,9,7,1,[]
https://m.weibo.cn/status/IiiKvBy5z?mblogid=IiiKvBy5z&luicode=10000011&lfid=1076036252807875,Thu Nov 28 15:09:41 +0800 2019,2019Q3季度业绩报告来了优信二手车全国购业务实现七季连增📈实现营收3.28亿元 同比增长247%全面增效 全国领跑,398,110,170,"['优信二手车全国购棒棒哒！👊全面增效 全国领跑👊', '霸气才是财气，来优信看二手车应是最好的选择。', '乐意接受新事物，行业有独特的见解', '优信的用心服务，让消费者购买的更放心，谢谢你们', '优信让顾客安心购买二手车，一切为顾客着想，真的很感谢你们的服务', '在同一行业，进步很快，值得一赞', '因为不断前行，所以一直关注优信', '完整的服务优质符合我购买的心理', '看到朋友在优信购买的二手车，车好服务也好，当初应该听朋友的提议，也先购买一个二手车', '优质的服务带来了更大的效益', '量大而积累到质，优信二手车市有很大的前景', '如果需要二手车购买的话，还是找优信比较靠谱。', '优信感觉现在越做做好了', '优信二手车还是很值得信赖的', '在优信二手车看了很久，开始购买']"
https://m.weibo.cn/status/IgtjujlDx?mblogid=IgtjujlDx&luicode=10000011&lfid=1076036252807875,Sat Nov 16 14:22:43 +0800 2019,优信二手车全国购业务再次获得肯定，荣获汽车流通协会颁发的“中国汽车流通行业核心竞争力企业”大奖。未来，优信将进一步发挥竞争优势，助推二手车跨区域流通，促汽车流通行业健康发展,24,28,2,[]
https://m.weibo.cn/status/IdS49i7sZ?mblogid=IdS49i7sZ&luicode=10000011&lfid=1076036252807875,Wed Oct 30 11:52:40 +0800 2019,发布了头条文章：《优信集团官方声明》 优信集团官方声明,470,27,315,[]
https://m.weibo.cn/status/Ibb0Jddng?mblogid=Ibb0Jddng&luicode=10000011&lfid=1076036252807875,Sat Oct 12 18:35:32 +0800 2019,昨日，“2019科特勒未来营销峰会”在北京举行。大会汇集营销界领先企业及专家，以“营销驱动新增长”为主题，探讨在新的经济形势下如何驱动企业增长。峰会上，“现代营销学之父”菲利普·科特勒现场发表演讲。国内最大的二手车电商平台——优信受邀出席，并凭借独创的二手车“全国购”商业模式，获得“科特勒卓越合作伙伴奖”。,12,6,1,[]
https://m.weibo.cn/status/IaTW1s6sk?mblogid=IaTW1s6sk&luicode=10000011&lfid=1076036252807875,Thu Oct 10 23:07:15 +0800 2019,愿平安🙏//@人民日报:据@交通发布 ：经与江苏省交通运输厅视频连线了解，事故发生时，一严重超载货车在桥上行驶，可能为桥梁垮塌的直接原因。江苏省交通运输厅已派员赴现场。等待调查结果，愿平安！#无锡高架桥面侧翻#,4,4,2,[]
https://m.weibo.cn/status/I9tapgMJc?mblogid=I9tapgMJc&luicode=10000011&lfid=1076036252807875,Tue Oct 01 13:08:13 +0800 2019,我爱我的祖国🇨🇳,2,3,0,[]
https://m.weibo.cn/status/I8r5onE9s?mblogid=I8r5onE9s&luicode=10000011&lfid=1076036252807875,Tue Sep 24 18:00:04 +0800 2019,优信2019第二季度业绩报告，蓄力出击，冲劲十足！,10,17,8,"['[加油][加油][加油]', '']"
https://m.weibo.cn/status/I8hVMa7f7?mblogid=I8hVMa7f7&luicode=10000011&lfid=1076036252807875,Mon Sep 23 18:41:39 +0800 2019,优信2019年Q2财报显示：整体营收继续保持大幅增长，2019年第二季度总营收达到4.39亿元（单位：人民币，下同），同比增长58.3%。毛利润达到2.34亿元，同比增长101.2%。其中优信2C业务实现营收为3.23亿元，同比增长11倍；交易量同比增长500.4％，已实现连续六个季度的迅猛增长,40,15,35,"['优信Q2财报数据很亮眼', '全国购业务让在线购买二手车更加方便', '全国购2C营收占比更进一步大幅提升', '优信近来也不断提升科技和服务能力，发挥头部品牌势能，形成更高的行业生态壁垒', '期待优信未来业绩的增长~', '这是连续六个季度的快速增长', '优信这次Q2财报有很多大幅增长的数据']"
