微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K2Dr4ieF8?mblogid=K2Dr4ieF8&luicode=10000011&lfid=1076032191744334,Fri Feb 19 11:53:12 +0800 2021,左耳：当时我回来一看，房子都没了,14,5,1,"['订单1251219543926207397能不能处理一下？ 我从五号开始一直到现在 还没解决完！', '你好好笑喔', '哈哈哈哈哈哈哈哈哈哈']"
https://m.weibo.cn/status/K2D3KEPp7?mblogid=K2D3KEPp7&luicode=10000011&lfid=1076032191744334,Fri Feb 19 10:55:46 +0800 2021,____穷三代，_____毁一生，一朝换上大画幅，从此踏上不归路,3,1,4,[]
https://m.weibo.cn/status/K2vrjb5aD?mblogid=K2vrjb5aD&luicode=10000011&lfid=1076032191744334,Thu Feb 18 15:31:49 +0800 2021,爱而不得，人间惨剧 闲鱼的微博视频,24,8,0,"['不太喜欢上来一句话就坎价', '你们推送是不是有毛病？天天“您浏览的东西降价xxx元”，点进去屁都没有。闲得慌是吗？', '', '好和谐，哈哈', '学废了学废了', '一觉醒来笑到了，得多少年的脑血栓才做得出你们这个app啊', '误封了我四五天了还要再叫我等四五天解决，封了我两边是看我不够封吗？第一遍打电话解决第二遍就不能解决要我等个四五天？咸鱼干啥啥不行，误封第一名']"
https://m.weibo.cn/status/K2v4jtiEY?mblogid=K2v4jtiEY&luicode=10000011&lfid=1076032191744334,Thu Feb 18 14:35:09 +0800 2021,别人的公司，看到哪个你累了,18,18,0,"['所以搜什么会捡漏？', '我得到了失业', '我给你发的信息你是一直不回复啊！这场纠纷已经半个月了，你不介入一下吗？', '年终奖都莫得，开工还要前几名到的才可能有', '倒是写出来啥单位儿啊', '废话，肯定价格最高的', '哈哈哈，不太可信了现在已经。', '还没开工 二月份的工资 年前已经发完了', '那么问题来了 告诉我是哪家公司的？', '问题来了，如何让老板知道', '我抽中了腊梅面霜', '都累', '凭什么求购二手正版卡带判我违规还不许申诉？有毛病？', '倒是需要，问题是怎么辨别真伪？', '省心卖变成捐？？？这是什么逻辑']"
https://m.weibo.cn/status/K2ubpkQlN?mblogid=K2ubpkQlN&luicode=10000011&lfid=1076032191744334,Thu Feb 18 12:19:53 +0800 2021,u1s1，动感单车能承载的衣服比跑步机少,10,4,2,"['我那个已经摆到脱了皮、所以只能丢了不然我也挂上去卖掉', '最后那个，是不是他家鱼也养死了', '要说承载衣服，按摩椅能排进前三。', '嗯，跑步机应该能晒被子']"
https://m.weibo.cn/status/K2u5yrQ1n?mblogid=K2u5yrQ1n&luicode=10000011&lfid=1076032191744334,Thu Feb 18 12:05:29 +0800 2021,,12,4,0,"['', '这不是闲鱼么？不干正事，天天乱给别人违规，乱取消别人玩家号，没理由，就是随意。', '白说了']"
https://m.weibo.cn/status/K2tF25pHw?mblogid=K2tF25pHw&luicode=10000011&lfid=1076032191744334,Thu Feb 18 11:00:08 +0800 2021,#开工大吉#你现在的心情是______,4,9,2,"['#春节气氛组担当# 新年新期待//@闲鱼:#开工大吉#你现在的心情是______', '起床好困难', '牛气冲天//@闲鱼:#开工大吉#你现在的心情是______', '不要惹我', '烦躁啊', '想回家，想躺床，想“闲鱼”', '这不是闲鱼么？不干正事，天天乱给别人违规，乱取消别人玩家号，没理由，就是随意。', '裂开了']"
https://m.weibo.cn/status/K2emR7IAN?mblogid=K2emR7IAN&luicode=10000011&lfid=1076032191744334,Tue Feb 16 20:04:09 +0800 2021,恭喜@奶昔家有巧克力 1名用户获得【牛年金币】。微博官方唯一抽奖工具@微博抽奖平台 -高级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,11,13,0,"['这不是闲鱼么？不干正事，天天乱给别人违规，乱取消别人玩家号，没理由，就是随意。', '你们是不是有点毛病：tb上买了疤克用不上了，同时看到原订单下方有“卖了换钱”的按钮，结果说我违规？？？不能买药品你在这订单上搞这按钮干啥？？', '中检怎么显示受疫情管控不接单了?什么时候开始接单?我要卖东西验货宝不好使怎么卖?', '我劝官方做个人吧，一挂无羁就被封一挂无羁就被封，都无语了', '什么时候开通验货宝？', '求求你了，把快捷消息取消了吧，不小心点到好几次了，还撤不回很尴尬', '能不能不给推消息了，关掉了推荐还给推，你们是疯了吗？？非得让我从系统整个把你屏蔽掉？？怎么这么流氓下作了？？？', '能不能不给推消息了，换掉推荐还给推，你们是疯了吗？？非得让我从系统整个把你屏蔽掉？？怎么这么流氓下作了？？？']"
https://m.weibo.cn/status/K1Aq98h3g?mblogid=K1Aq98h3g&luicode=10000011&lfid=1076032191744334,Fri Feb 12 14:22:22 +0800 2021,阿里动物园花式功夫拜年，化身“18罗汉”携电影#少林寺之得宝传奇# 武动新春！草根小子@王宝强 逆袭成少林高僧，硬核功夫引燃热血江湖。春节看《少林寺之得宝传奇》如何变“废”为宝，告别闲置生活！转发本条微博，抽三个幸运儿送电影点播券，准儿就有你！大年初一，就上优酷 #爆笑影厅# 一起过年！,33,57,46,"['我一个链接卖了十几份了，都是好评，你三天两头搞审核，是你瞎还是我瞎？一搞审核就是链接保护没了，一审核就是好几天？你们就不能上点心吗？？', '我', '转发微博', '这不是闲鱼么？不干正事，天天乱给别人违规，乱取消别人玩家号，没理由，就是随意。', '', '看看我的闲置吧', '', '过你嘛年，曹氼麻辣哥鼻，封泥麻号煞闭', '常用的信息可以在这里保存，便于发送。我的电话是__，常联系。', '闲闲', '转', '中国功夫就是棒', '阿里动物园花式功夫拜年，化身“18罗汉”携电影#少林寺之得宝传奇# 武动新春！草根小子@王宝强 逆袭成少林高僧，硬核功夫引燃热血江湖', '就想问问，买到假货，卖家不承认假货，扯东扯西，怎么办，走闲鱼小法庭程序，这个小法庭公平公正吗', '在本人根本不知道的情况下自动绑定微博是有什么毛病？']"
https://m.weibo.cn/status/K1z9Lso4W?mblogid=K1z9Lso4W&luicode=10000011&lfid=1076032191744334,Fri Feb 12 11:09:16 +0800 2021,新的一年，我希望大家每天开开心心的！转发这条加码666红包1个！,130,220,1423,"['是我', '谢谢', '', '新年快乐', '1', '冲冲', '//@闲鱼:新的一年，我希望大家每天开开心心的！转发这条加码6661个！', '累了', '', '玉鼠辞旧岁，金牛贺新春。', '好的呢', '新年新气象！//@闲鱼:新的一年，我希望大家每天开开心心的！转发这条加码6661个！', '闲鱼', '新年快乐', '我会开心的']"
