微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/I0piZxi9W?mblogid=I0piZxi9W&luicode=10000011&lfid=1076035122220173,Fri Aug 02 22:45:39 +0800 2019,声明,30037,17217,516,"['还有b脸在这说 给老子199退了再说你🐎吧', '先退押金吧 虽然只有99', '那贵公司不退我们押金的行为属于违法行为吗？一身罪恶地吞着劳动人民血汗。还可以一睁眼别打击罪恶。厉害了啊。算了，我也只能当键盘侠随便说两句而已。谁让我只是个小人物呢，又拿你们没办法。199可是我一周的生活费呢。嘻嘻嘻', '别扯没用的 先把押金退了再说……', '好意思扣着一个学生党的押金吗', '退押金好么', '老子今天万千单车中扫了一辆“已经破产的ofo”？结果还尼🐴被人上了锁？一分钟不到结束要扣一块钱？完事发现不是押金？转到余额去了？还不给退？问了朋友才知道尼🐴公司早就倒闭了,我寻思我那100怎么退了？需要维权，顶我！', '原来这样啊，其实老赖也是知道违法的咯', '说你🐴呢，退押金，200块钱一箱油', '不要倒闭，早点还我们钱', '求求您做个人吧 学生党真的不容易', '能不能先给我整几辆。我出10元，够高了吧', '有资格说别人，想想自己欠一屁股债怎么不去解决，赶紧推我押金，没诚信的公司终是走不远的', '麻烦您赶紧把我的押金退了吧', '你也只敢半夜发声明了']"
https://m.weibo.cn/status/HvfxyfdzQ?mblogid=HvfxyfdzQ&luicode=10000011&lfid=1076035122220173,Tue May 21 20:09:10 +0800 2019,爱你，不只说说而已。给爱的结晶一份六一好礼！ofo小黄车 x @信美人寿相互保险社 ，关爱宝贝健康，成长路上护航~网页链接⬅️速戳链接，免费领取重症海外医疗保险，福利数量有限，先到先得哟！,519,4093,61,"['加油！多在微博接点广告挣点钱好退我押金', '在打广告努力还钱吗', '我一个学生，从进学校开始退押金，现在都要毕业了，能不能退你吱一声啊，有点担当好不好，既然是要其共享单车的人哪个是有钱人？', '抽奖退押金名额吧，感觉会有很多转发。', '退押金吧！我都等了半年了！', '你不是还保留起诉的权利吗？起诉你也是败诉，你的自行车是公共设施，我们的押金是个人财产，你不退给我们，还欺骗我们换成年卡，商城金币。你们的这种行为就欺诈，商业欺骗。你就是个非法集资典型。', '多接广告 加油', '小编你工资发了吗？', '加油！相信你能扛过危机，我还是会支持ofo。反应一种情况啊，现在街道旁的ofo共享单车普遍不能用，如果还能一直很好地使用，我就不会申请退押金了', '天呐，还发微博，退押金吧', '路上看不到一辆小黄车，余额没用完，押金退不了，刚留的言也不见了！这不是无赖，是无耻了！！', '把余额退给我吧谢谢', '小鸣单车都比你好，至少打了电话有人接，你们是电话都不接，把钱吃了准备买棺材吗', '车子输入密码打不开车，为什么要扣一块钱', '今天看看我的小黄车押金退款情况 结果不小心点了那个什么升级 连个二次确认都没有就给我把押金变成小鹿有货商城的金币了 后退后 再点击小鹿有货都点不进去了 所谓的金币也就没法用了 这是什么情况 能否给个说法 如果在这里得不到回复我是不会罢休的 我会通过各种渠道和方法讨回说法 望认真负责的']"
https://m.weibo.cn/status/HnN7nbs86?mblogid=HnN7nbs86&luicode=10000011&lfid=1076035122220173,Tue Apr 02 18:55:38 +0800 2019,声明,1027,10229,243,"['那可以退押金了', '想让我们信任你，就请先把我们的押金退给我们，好吗？是你们先欺骗消费者的，你们不做出行动，提高退押金的效率，谣言怎么会停止，与其在这发什么声明还不如提高一下退押金的效率！！', '还钱', '既然这样赶紧退押金啊，压着我们的钱干嘛', '前几天交了199的押金 发现单车是坏的骑不了还扣了我一块钱 车没骑成还要往里面充余额 现在退押金也还要排队 然后被套路折扣商品搞个什么300金币 里面的商品还要加钱买 头一次遇见这么无耻的商家 赶紧倒闭吧', '天天澄清这个澄清那个，我们要的不是你的澄清，如果不退还押金余额你们无论怎么澄清都没有用的，起码我对ofo的印象已经差到极点，只差去破坏车了（但我还是希望你们能留点经济还钱)。如果能好好把押金和余额还了，也不会有没有那么多人去黑ofo、说些流言蜚语，哪还需要天天澄清。', '我一直没要求退押金，你可别让我失望', '没破产滚出来退押金啊！', '给老子退押金！199呢', '赶快还钱啊', '电话没人接是怎么回事，能不能把车修一修，路上都没几个能骑的小黄', '这就是你们所谓的“严重失实”？？', '没破产的话麻烦你们把押金推给大家，如果退不了就别怨别人说你们破产，说你们只是破产还是轻的，怎么没有人炸了或者砸了你们公司', '退不了押金，为什么还可以收押金？今天刚被收…', '还钱还钱！！！']"
https://m.weibo.cn/status/Hmz9MiqFu?mblogid=Hmz9MiqFu&luicode=10000011&lfid=1076035122220173,Mon Mar 25 17:32:48 +0800 2019,声明,540,2893,74,"['我就问我的押金什么时候退我，排队排了大半年了', '所以呢，199，在等等？', '退押金吧199', '赶紧退押金', '我就问我的押金什么时候退我，排队排了大半年了？无良企业', '你怕就是那个贪污犯噢', '押金退我', '赶紧还钱！！！', '我就想问押金什么时候退', '总结一下：第一层意思，我们ofo还活着；第二层意思：查是会查的，等我们找到正式甩锅的理由再通知大家；第三层意思：押金？啥押金？我不知道啊', '所以，能退钱了吗', '199等着呢', '小黄车我没有申请退押金，我等着你东山再起！', '我的押金什么时候退', '小黄车一定能挺住的，加油！（别倒闭，我等着199）']"
https://m.weibo.cn/status/HbiepmukG?mblogid=HbiepmukG&luicode=10000011&lfid=1076035122220173,Thu Jan 10 14:14:10 +0800 2019,恭喜@好学的007 等10名用户获得【双人电影票】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,430,6454,64,"['@ofo小黄车官方微博 希望ofo官微能看到我这条信息，也希望各位微友能把我顶上去！199元虽然在现在的物价来说是不多，可是每个人都有特别特别缺钱的时候，因为个人身体原因，病毒感染引起的心肌炎，以及个人要强的性格不愿和家人说，现在这199说真的，可以让我能吃上好几天的白粥加青菜了', '退押金，排队还得排两年', '你能不能搞个抽奖退押金的活动啊亲', '强烈要求把戴维控制起来，妈蛋，人家欠贷款几个月不还就要坐牢，你们欠了十几亿不还还可以逍遥法外，什么道理', '有空玩抽奖，不如先把押金退了吧！', '我就好奇为什么没人抓你们啊，在你们这里法律只是两个汉字而已吗', '戴威不判刑，不足以平民愤。', '发微博询问退款情况不理人，微博更新倒是挺勤的！还有没有信誉可言了！真够可以了！放着押金不退！还在这给自己做宣传！', '我已经不想说啥了', '退押金啊', '每天不骂一下你，我都睡不着，死不要脸', 'ofo今天是个男客服还是说些套话就是不能退款 押金慢慢排队就算了呢 余额也不退 这次我没好气酸了他一通 感觉他要气炸了也只能女士巴拉巴拉 🙄我话费每个月多了用不完正好跟你们耗', '还我押金', '我们想要什么心里没点数吗', '退押金，蚂蚁花呗今天要还']"
https://m.weibo.cn/status/HayKf12d5?mblogid=HayKf12d5&luicode=10000011&lfid=1076035122220173,Sat Jan 05 18:26:14 +0800 2019,恭喜@丶镜子丶 1名用户获得【咖啡机】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,183,1739,17,"['退钱！', '要不考虑下抽个人退押金吧，:）', '一天到晚就知道搞些虚的，赶紧把我们钱退了才是正经的', '图片评论', '一个穷学生，求你把我的199退了好不，花呗还没还完', '北大赶紧把戴威学籍全部删掉，要不就是狗杂大学', '就没见过这么无赖的商家，199的押金脱了几个月了', '他妈的你能了解我车一分钟没骑 钱也不退 换号码也不理我的感觉吗', '退钱，别整这些虚假的，骗子公司，', '居然还没倒闭。。。 坚强啊', '赶紧退我押金💣💣💣💣💣💣@ofo小黄车官方微博', '只有我在12月30号的时候还往小黄车充钱吗...少看微博和新闻的后果..感觉更凉凉', '好不容易从600多万退到我，她妈的又要老子从新填支付宝，现在又排到1300多万了 缺德的商家，天天搞些虚的，当老赖成瘾了？', '别以为什么京师大学堂前身就有用了，屁一坨', '我可以不要钱，小黄车必须倒闭，戴维滚去蹲监狱']"
https://m.weibo.cn/status/HamrD1UmL?mblogid=HamrD1UmL&luicode=10000011&lfid=1076035122220173,Fri Jan 04 11:07:25 +0800 2019,#电影燃点1.11# 一个有梦想的人，带着想要改变世界的决心，踏上了一条充满艰险和挑战的路，感谢@电影燃点 记录了你的奋斗历程，不论多远的目标，只要往前走，都是在接近。2019年1月11日，敬请期待。[加油][加油] ofo小黄车官方微博的微博视频,461,2341,89,"['答应我好好活着，苟延残喘到地球爆炸。我就喜欢看你们公司不要脸的样子。从延长退款时间，到排队退款，看看你们还有什么不要脸手段。', '希望ofo官微能看到我这条信息，也希望各位微友能把我顶上去！199元虽然在现在的物价来说是不多，可是每个人都有特别特别缺钱的时候，因为个人身体原因，病毒感染引起的心肌炎，以及个人要强的性格不愿和家人说，现在这199说真的，可以让我能吃上好几天的白粥加青菜了', '戴威狗凭什么私自挪用用户押金？', '这是准备票房抵押金吗？', '日常打电话骂ofo狗的来排队。', '我的微博有ofo小黄车退款维权秘籍，已帮助千人退款，送我上去~文章直达链接：全网最全最有效的ofo（小黄车）退押金维权秘籍来啦（成功率90%！！）', '我暂时的梦想是退押金。。这900多万人能排到你们消失', '不退钱还去拍电影 你清醒一点吧', '一个有梦想的人，在2018年11月16日交了199的押金后，踏上了一条充满艰险和挑战的退押金之路，感谢@ofo小黄车官方微博 陪我同甘共苦一起走这路。#ofo小黄车#', '能不能退款！！！', '把几十亿的用户押金吃掉是不是也很激动啊，卧槽', '退押金前面还有267万人，答应我，在没退钱之前不要倒闭好么', '麻烦 把押金退了 在谈梦想', '说什么情怀，20个亿先还给大家再说。押金是你有权利挪动的钱吗？押金是你的吗？是资本做大冲昏的头脑？还是掉钱眼里了？还预购票扫码，疯了吧，哪个影院会上这个鬼片。没事儿不要出来装B，去坐坐客服，接接电话，从小事儿做起，MD。', '心有梦想，也要脚踏实地，改变世界之前，请先履行自己应尽的义务']"
https://m.weibo.cn/status/H7GaLp9s8?mblogid=H7GaLp9s8&luicode=10000011&lfid=1076035122220173,Mon Dec 17 19:49:54 +0800 2018,ofo小黄车退押金政策提醒,4738,20988,1593,"['是吗，我不信，我不信，不信的点赞', '永远打不通客服电话的在这点赞！！！！', '充值押金的时候写着大大的“随时可退”！然后退押金的时候就要15天！要么你们就当是标注，要多久能退，要不就按照你们自己说的随时可退！你写啥时候可以退，要多久，我们这些消费者如果还是充值押金了，我们也不会说什么！现在的情况是你们变相欺负消费者，和非法集资有什么区别！@ofo小黄车官方微博', '别说虚的 多长时候能退 来具体的 退款两个多月了 一点消息都没有 让消费者如何信任你们', '所以你们知道现在有个新的套路嘛？说什么0元购买年卡免押金，然后我居然点了！？点了？？？然后现在提示我押金已退款成功？？？就是我199买了年卡？没有了押金？？？暗度陈仓？？？', '我的经过了28天终于退了，打了无数次电话，听了很久的音乐。明明可以退为什么不从网上退？明明可以退为什么迟迟不退？明明可以退为什么客服电话打不通？我已经对你们失望了，之前是充满信心的。', '祝小黄车公司早日倒闭，破产清算', '一天天的逼事那么多，退了才是真正的解决问题！！我们天天打电话，天天在app等人工服务很累的！就只想拿回属于我们自己的199块！！', '我的微博置顶有ofo小黄车退款维权秘籍，已帮助千人退款，送我上去~文章直达链接：全网最全最有效的ofo（小黄车）退押金维权秘籍来啦（成功率90%！！）', '线上根本没有提交的入口啊，说要人工，电话打不通，人工在线回复，每次都50人以上', '按队列顺序退款？我申请退款一个多月了还没有排到我吗？那你们凭什么承诺0－15个工作日到账？真生气！', '900W名以后的有没有？', '发这个就是告诉你 你们要相信我 电话是打不通的 线上是不回复的 投诉是没有用的 欠钱是快乐的', '真的是消费我们的信任！想当初别的车都不骑就喜欢你们小黄车到现在的失望透顶，押金退了一个月了还没退！今天上头条了就又发公告来安抚民心，你觉得我们还会信吗？上头条才发早干嘛去了！', '不要发虚假公告，用实际行动。戴威退押金!戴威退押金!戴威退押金!@新华网 @现代快报 @新京报 @新浪新闻 @百度新闻 @北京晨报 @澎湃新闻 @人民法院报 @人民日报 @人人网 @人民正能量 @央视新闻 @12315消费者维权投诉 @元芳时评']"
https://m.weibo.cn/status/H7E8ZELhC?mblogid=H7E8ZELhC&luicode=10000011&lfid=1076035122220173,Mon Dec 17 14:40:03 +0800 2018,12月20日，和ofo一“骑”去2018#搜狐时尚盛典# ，关注@ofo小黄车官方微博 @搜狐，带话题转发并@一位好友 一起围观搜狐时尚盛典，1月5日将通过@微博抽奖平台 抽送咖啡机一台哟,390,2755,439,"['有毛病吧 要么你就早点倒闭好吧 艹天天抽奖早点把押金给还了啊', '我的微博置顶有最新ofo小黄车退押金维权秘籍，欢迎亲们查看交流~顶我上去！', '你们能坚持到2019年嘛。', 'ofo一定要度过这次难关啊！一定要把大家的押金都退了啊！一定要抱到大腿救命啊！', '根据《北京市非机动车管理条例》第二十条第四项、第七项、第三十一条之规定，互联网租赁自行车企业不及时退还押金的，由交通行政主管部门查处。', '我的微博有ofo小黄车退款维权秘籍，已帮助千人退款，文章直达链接：全网最全最有效的ofo（小黄车）退押金维权秘籍来啦（成功率90%！！）', '从现在起我每天破坏一部小黄车，直到你们退押金为止', '如果哪天我跳楼了，一样兄弟们告诉小黄车是因为他没退押金', '无良企业！尼玛全城一个车子都没得了，还不退押金了！电话打不通，我同事打了600多个才退到钱，微博还抽锤子抽奖！管理层都是些啥子人，有本事就直接宣布破产不退了撒！直接垮了完了！', '退押金吧', '请尽快退押金！我已经满15个工作日了！今天打了100多个电话了！就没有一个打通的！同志们有我这种情况的吗', '戴威的老爹是交通部局长 你们别想要押金了 一手遮天投诉都没有用的嘻嘻🤭', '为《退押金》打call！', '退押金啊 电话也打不通 你让我们怎么退押金???', '我们关心的不是什么抽奖，我们关心的是你什么时候还我们的血汗钱，请你发微博正面给予我们回复，不要再搞这些无意义的抽奖，钱都不还谁有心情关注抽奖？']"
https://m.weibo.cn/status/H7dvk1PTI?mblogid=H7dvk1PTI&luicode=10000011&lfid=1076035122220173,Fri Dec 14 18:50:52 +0800 2018,ofo小黄车为电影《燃点》打call！#电影燃点1.11# 即使前路艰难，依然砥砺前行 ，为坚持奋斗的创业者们发声！本黄还为大家准备了一份大礼包哟，关注@ofo小黄车官方微博 和@电影燃点，转评原博并艾特两位好友，就有机会获得超级丰厚的奖品哦！#燃点钱包回血计划#,492,8525,204,"['退押金吧，我们大学生也不容易', '为我要《退押金》打call！', '见过最不脸的，人家都是倒闭了才不退押金，这个不退还一直活跃，也不给个说法', '据《电商法》第二十一条规定，电子商务经营者按照约定向消费者收取押金的，应当明示押金退还的方式、程序，不得对押金退还设置不合理条件。消费者申请退还押金，符合押金退还条件的，电子商务经营者应当及时退还。违反可以处5万元以上20万元以下的罚款;情节严重的，处20万元以上50万元以下的罚款。', '逼网友用八国语言催你退押金吗', '两个手机打！这个一千多，另一个五百多！！！特么的！打通过几个，一直响音乐让等待！然后我就欠费了！特么的，通了你不接浪费别人时间，浪费别人钱！还特么不退款。公司面临倒闭就是你们这样搞下去的！一次失去诚信，就再也得不到信任！', '退押金谢谢', '管好自己吧 还打啥call啊', '请问能给我退押金不？我已经把你们所有平台都访问遍了，你们到是给个反应啊，没有一个给答复的，ofo能不装聋作哑除了退款啥都正常啊！！！！', '你们还没倒闭？', '别人挣点钱多不容易 你有什么脸不退 有什么脸活着', '我在十一月22号申请退ofo共享单车押金，系统显示零到十五个工作日退押金。好吧，其中联系到了人工客服也说过了十五个工作日就能退，已经到了几天了，可是一直没有退。今天打了两百多个电话一直没有客服接，不知道是不是被拉黑了。只希望能够能够感觉退押金，毕竟钱不是大风刮过来的', '你call你🐴 呢，退老子押金吧小弟弟！', '老板死了吗', '日常退押金 打客服按2 保险办案 退押金。']"
