微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K2jTfftf7?mblogid=K2jTfftf7&luicode=10000011&lfid=1076036028267033,Wed Feb 17 10:07:41 +0800 2021,【悬赏100元】春节期间，就地过年的你和顺风车司机都发生了哪些暖心故事？100种就地过年的方式，一段奇妙的缘分也是❤️ 关注+转发，2月28日零点抽3个小伙伴送3条哈啰毛巾！春节期间，就地过年的你和顺风车司机都发生了哪些暖心故事?,35,42,161,"['相互祝新年快乐', '@哈啰出行', '转发微博', '缘分到了。', '就是骑哈罗单车 绿色出行', '真的暖心！', '哈罗顺风车提现很方便', '嗯，', '爱', '司机转发微博', '转发微博', '转发微博', '转发微博', '转发微博', '不是春节的故事，几年前了。和闺蜜旅游最后一站长白山，睡觉前决定坐顺风车回家，挑了一个准备下山再联系司机，结果第二天上山路上碰见了司机就在队伍前面买票，取完票站在边上打电话，打的还是我们的电话，是个可爱的小哥哥，还带了专业相机，于是边玩边拍，下山直接回家。超级满意的旅程']"
https://m.weibo.cn/status/K2CGmckyd?mblogid=K2CGmckyd&luicode=10000011&lfid=1076036028267033,Fri Feb 19 09:58:07 +0800 2021,,7,11,3,"['今天来苏州了 没见小哈 ～', '少林功夫好耶！ 真的好！ 少林功夫棒耶！ 真的棒！', '我的问题什么时候处理好？@哈啰出行']"
https://m.weibo.cn/status/K2ty7169y?mblogid=K2ty7169y&luicode=10000011&lfid=1076036028267033,Thu Feb 18 10:43:05 +0800 2021,公司派发的开工红包，大家猜猜有多少点赞沾沾喜气吧，顺祝大家开工大吉呀～,87,60,0,"['1.58', '五十是副总级别的，这个估计二十吧', '祝小编牛年事业顺利，开工大吉', '一张月卡', '到目前居然还没有一个猜对的宝宝哈哈', '抽奖吗', '一张周卡或者一张日卡', '68块钱，不能再多了', '1？给个提示吧', '开工大吉', '', '10块', '5块', '100', '30']"
https://m.weibo.cn/status/K2d1LbeCx?mblogid=K2d1LbeCx&luicode=10000011&lfid=1076036028267033,Tue Feb 16 16:39:26 +0800 2021,#单车猎人7小时找回失联300天单车#100种就地过年的方式，让苍天知道哈啰人永不认输！哈啰人，哈啰魂，又是坚守岗位，尽职尽责的一天呢,13,2,4,"['补偿不补偿无所谓，只想让这个司机得到应有的惩罚！', '今天上午，我在贵平台使用了顺风车服务，司机接单后，让我变更了三四次上车地点，一次比一次远，最后一次等了十多分钟，没有任何通知和沟通，无故取消了我的订单，这样戏耍顾客的行为让我非常不满，且贵方客服的处理方式更是让人不满，没有言明任何实质性的处罚和补偿，这就是贵公司对大众的服务态度？']"
https://m.weibo.cn/status/K1U0RrdpT?mblogid=K1U0RrdpT&luicode=10000011&lfid=1076036028267033,Sun Feb 14 16:15:02 +0800 2021,#春节不回家 北斗福到家#有精准定位更配哦@千寻位置,10,4,0,"['大家都是996，经常忙了一天了下班还得走个十几二十分钟找车，你说因为天气回收维护，可以，好容易找到一个，结果是二维码被人为破坏了的，想报故障，连个渠道都没有', '@哈啰出行 @哈啰出行客服 出来退钱', '如果你们官方鼓励这种行为，是不是下次我也可以这样白嫖一辆电动车？我干不出这缺德事儿，既然骑不了麻烦把我的骑行卡退了@哈啰出行 @哈啰出行客服']"
https://m.weibo.cn/status/K1Rx5ob60?mblogid=K1Rx5ob60&luicode=10000011&lfid=1076036028267033,Sun Feb 14 09:56:11 +0800 2021,#情人节别人家的男朋友#哈啰出行，陪伴你每一个应该赴约的日子，想见你，多远都不算远,9,3,1,"['就冲你这条微博我取关了单身狗表示强烈谴责', '什么时候美国ipo']"
https://m.weibo.cn/status/K1zXsAibG?mblogid=K1zXsAibG&luicode=10000011&lfid=1076036028267033,Fri Feb 12 13:11:43 +0800 2021,#新年快乐# 哈啰出行祝您新的一年路路畅通！出行顺心！万事如意！新年暴富！关注+转发，不过滤抽50个新年小伙伴送出哈啰出行定制红包封面！2月13零点开！冲冲冲！ 哈啰出行的微博视频 抽奖详情,23,22,68,"['中奖的幸运用户，会在后台小窗收到本哈给您的定制红包封面哦', '转发微博', '👏👏👏👏👏👏', '来了来了', '新年快乐', '冲呀', '转发微博', '转发微博', '转发微博', '近几天一直在骑单车和助力车', '来啦！', '转发微博', '可以可以', '可以的', '转发微博']"
https://m.weibo.cn/status/K1q0CbUWB?mblogid=K1q0CbUWB&luicode=10000011&lfid=1076036028267033,Thu Feb 11 11:52:01 +0800 2021,#春节不回家 北斗福到家#哈啰，精准定位，有你更放心。@千寻位置,13,1,1,[]
https://m.weibo.cn/status/K1p0Q6i8N?mblogid=K1p0Q6i8N&luicode=10000011&lfid=1076036028267033,Thu Feb 11 09:19:49 +0800 2021,#除夕# 一年将尽夜，万里未归人。哈哈在这里，祝春好，问年安PS：快来评论区晒出你们香喷喷的年夜饭！！,17,7,1,"['昨晚就把年夜饭恰掉了', '你好，你感兴趣的“除夕”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> 除夕', '新年好，我们的小哈', '还没开始', '刚起床']"
https://m.weibo.cn/status/K1ihS1pKU?mblogid=K1ihS1pKU&luicode=10000011&lfid=1076036028267033,Wed Feb 10 16:12:33 +0800 2021,#哈啰总裁与留守一线运维人员云端年夜饭#你和家人负责好好过春节，我们负责守护你的出行安全。牛年春节期间，哈啰一线运维在岗率将达到90%，且哈啰已经采购包含人员防护装备、运维消杀设备等防疫物资超60万件2月1日，哈啰出行发布《2021哈啰出行防疫手册》，用于保障用户用,78,118,250,"['消毒液走起，一年多没摘口罩了，新年快乐，牛年大吉', '一起做疫情防控自觉人！', '中奖了，麻烦回复一下私信', '勤洗手戴口罩', '好想要拥有幸福喲！', '快行动起来吧!', '福利来了!', '期待着好运气……', '勤洗手，随身携带消毒杀菌产品', '支持', '#哈啰总裁与留守一线运维人员云端年夜饭#', '转发微博', '转发微博', '然而防疫物资却没收到', '防控疫情，哈啰与你同行！']"
