微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K2DvxaQUO?mblogid=K2DvxaQUO&luicode=10000011&lfid=1076035624879103,Fri Feb 19 12:04:12 +0800 2021,恭喜@每天都想吃自助餐 等10名用户获得【电影票】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,1,0,0,[]
https://m.weibo.cn/status/K2Cq790Q5?mblogid=K2Cq790Q5&luicode=10000011&lfid=1076035624879103,Fri Feb 19 09:18:06 +0800 2021,新年新征程，整装出发，遇见美好！不辜负每一程的相遇！2月19日-2月26日，关注@衣邦人+@曹操出行 ，带#新年新征程 立个flag# 转发，说出你的新年flag，3月1日抽1位好友，赠送衣邦人赞助的价值398元新年焕新基金，助力您的新年flag一一实现！@微博抽奖平台。,21,51,79,"['小衣来咯！新年立个flag，抽大奖咯！#新年新征程 立个flag#', '#新年新征程 立个flag# 一年看50本书，减重到82斤吧，嘿嘿', '#新年新征程 立个flag# 努力赚钱', '#新年新征程 立个flag# 考试上岸', '#新年新征程 立个flag# 身体健康，快快乐乐', '#新年新征程 立个flag# 瘦瘦瘦！', '#新年新征程 立个flag#支持', '#新年新征程 立个flag# 是的 无问', '#新年新征程 立个flag#', '好运连连[迎福运][迎福运][迎福运][迎福运]#新年新征程 立个flag#', '#新年新征程 立个flag#瘦身成功', '#新年新征程 立个flag# 创业成功', '#新年新征程 立个flag#身体健康', '#新年新征程 立个flag#我来了', '#新年新征程 立个flag#2021年加油']"
https://m.weibo.cn/status/K20ZwyjKi?mblogid=K20ZwyjKi&luicode=10000011&lfid=1076035624879103,Mon Feb 15 10:00:57 +0800 2021,喜迎牛年，小曹和好朋友@大地影院 大地君带着#大地影院集团新春享好礼# #2021就地过年指南# 来啦！ 关注@曹操出行 及@大地影院 ，并转发本微博，2月19日抽10名幸运儿，每人两张电影票！打开过年✅正确方式！祝大家生龙活虎，万事遂心 抽奖详情,75,136,1039,"['本人有系统语音以及电话录音，曹操专车一直不作为不处理。如果该司机真的找到乘客进行报复，该找哪里处理', '司机不肯接乘客也不联系乘客，乘客打五通电话均被挂断，后来乘客说投诉才肯接，乘客拒绝并且告知已经重新打车，并请司机自行取消订单。该司机不肯取消订单并发语音性骚扰以及辱骂、报复乘客，曹操在线客服收到乘客投诉后第一时间取消订单并说1-3天才能处理。', '来啦', '哈哈哈哈', '需要你们解决我投诉的问题2.17号凌晨打专车 专车通话表示来，半个时候后拒绝不来，你们400 客服态度恶劣 ，挂断顾客电话，有人解决吗？', '', '安排', '来啦！', '', '万一呢', '抽我', '//@曹操出行:喜迎牛年，小曹和好朋友@大地影院 大地君带着#大地影院集团新春享好礼# #2021就地过年指南# 来啦！ 关注@曹操出行 及@大地影院 ，并转发本微博，2月19日抽10名幸运儿，每人两张电影票！打开过年✅正确方式！祝大家生龙活虎，万事遂心 抽奖详情', '//@曹操出行:喜迎牛年，小曹和好朋友@大地影院 大地君带着#大地影院集团新春享好礼# #2021就地过年指南# 来啦！ 关注@曹操出行 及@大地影院 ，并转发本微博，2月19日抽10名幸运儿，每人两张电影票！打开过年✅正确方式！祝大家生龙活虎，万事遂心 抽奖详情', '我//@曹操出行:喜迎牛年，小曹和好朋友@大地影院 大地君带着#大地影院集团新春享好礼# #2021就地过年指南# 来啦！ 关注@曹操出行 及@大地影院 ，并转发本微博，2月19日抽10名幸运儿，每人两张电影票！打开过年✅正确方式！祝大家生龙活虎，万事遂心 抽奖详情', '我']"
https://m.weibo.cn/status/K1MZ679xY?mblogid=K1MZ679xY&luicode=10000011&lfid=1076035624879103,Sat Feb 13 22:21:27 +0800 2021,奇葩说辩手@李佳洁圆圆 携手小曹给大家拜年啦！祝大家生活明朗，万物可爱！曹操出行，#不辜负每一程的相遇#！ 曹操出行的微博视频,80,28,15,"['哇 好喜欢这个小姐姐 以后就用曹操出行了', '祝圆圆和曹操出行新年快乐呀', '以前用另一个出行软件多，既然小曹这么有眼光pick了我圆，以后就锁定曹操了！新年快乐！', '祝圆圆和小曹车车牛年大吉 财运亨通', '圆圆和曹操出行新年快乐！', '李佳洁和曹操出行都要新年快乐呀！', '圆圆好漂亮！新年快乐🎉', '也向圆圆和小曹问声好！新的一年大吉大利财运亨通平安出行不辜负每一程的相遇。', '圆圆也太可爱啦啊', '圓圓yyds！', '新年快乐越来越🔥', 'yuan~yuan新年快乐', '圆圆新年快乐！', '需要你们解决我投诉的问题2.17号凌晨打专车 专车通话表示来，半个时候后拒绝不来，你们400 客服态度恶劣 ，挂断顾客电话，有人解决吗？', '圆圆新年快乐，谢谢曹操出行']"
https://m.weibo.cn/status/K1I8aq3NR?mblogid=K1I8aq3NR&luicode=10000011&lfid=1076035624879103,Sat Feb 13 10:00:03 +0800 2021,2020年飞逝而过，每一段旅程都是我们的故事。愿所有人新的一年所求皆所愿，乘风破浪，一往无前！曹操出行，#不辜负每一程的相遇#！ 曹操出行的微博视频,2,0,1,[]
https://m.weibo.cn/status/K1zxD0jPJ?mblogid=K1zxD0jPJ&luicode=10000011&lfid=1076035624879103,Fri Feb 12 12:08:03 +0800 2021,恭喜@Hello啊大树26 等5名用户获得【100元曹操充值卡】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,2,0,0,[]
https://m.weibo.cn/status/K1z6T15YO?mblogid=K1z6T15YO&luicode=10000011&lfid=1076035624879103,Fri Feb 12 11:02:10 +0800 2021,"恭喜@睡不醒的Rebecca 等5名用户获得【电影票】, @情不知所畏 等2名用户获得【100元曹操充值卡】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台",0,0,0,[]
https://m.weibo.cn/status/K1xNRj7IC?mblogid=K1xNRj7IC&luicode=10000011&lfid=1076035624879103,Fri Feb 12 07:42:34 +0800 2021,曹操师傅给您“花样”拜年啦！祝大家新年快乐，“牛”转乾坤！#不辜负每一程的相遇# 曹操出行的微博视频,2,0,1,[]
https://m.weibo.cn/status/K1ja4kgbd?mblogid=K1ja4kgbd&luicode=10000011&lfid=1076035624879103,Wed Feb 10 18:26:04 +0800 2021,这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！@微博抽奖平台,56,51,92,"['#在一起，就是年# 想要好运哦@曹操出行 //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人@微博抽奖平台', '#在一起，就是年# //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！', '#在一起，就是年# //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！来！@微博抽奖平台', '#在一起，就是年#//@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021！@微博抽奖平台', '#在一起，就是年# //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021！@微博抽奖平台', '#在一起，就是年# 心在一起就是年//@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 平分200元京东卡！2021，一起牛起来！@微博抽奖平台', '#在一起，就是年#//@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！@微博', '#在一起，就是年#支持', '#在一起,就是年# //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！@微博抽奖平台', '#在一起，就是年# //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！', '//@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！@微博抽奖平台', '#在一起，就是年# //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！', '//@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！@微博抽奖平台', '#在一起，就是年# 在家宅着', '#在一起，就是年# //@曹操出行:这一场“吉家宴”真的太暖心了吧！小曹为我的好朋友@吉利汽车 疯狂笔芯！一桌吉家宴，一家吉利人，即便身处异乡，也能感受到浓浓的年味和温暖。关注小曹和@吉利汽车，带话题#在一起，就是年# 话题转发+点赞这条微博，2.25抽2人，平分200元京东卡！2021，一起牛起来！']"
https://m.weibo.cn/status/K1afD3KWB?mblogid=K1afD3KWB&luicode=10000011&lfid=1076035624879103,Tue Feb 09 19:45:03 +0800 2021,一起来听听这位来自东北的曹操师傅的“四川年”今年你在哪儿过年呀？,3,3,1,"['东西丢车上，司机无论如何都不肯还，垃圾曹操', '蓉飘十年，颇有共鸣！']"
