微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K1J6mv24A?mblogid=K1J6mv24A&luicode=10000011&lfid=1076032838754010,Sat Feb 13 12:28:22 +0800 2021,关于打车超员的那些事，滴滴携手江苏警方给你提个醒！为了您的出行安全，要看到最后哦！,59,128,7,"['不能超载也不能酒驾！', '车里有几条安全带就坐几个人。', '确实是这样的，现在小朋友坐车都有标准', '最近和江苏警方合作很多哦', '过年期间确实每家每户人都很多车不够', '我们家没满一岁的小朋友坐车都要算名分的哈哈', '带孩子出门更要注意了，为了安全多叫一辆车值得。', '假日出行莫大意，安全知识要牢记', '我是司机，15号，等乘客，电话乘客说不用车了，我就取消了（司服经理培训时说电话日用品乘客明确不用可取消），结果判我有责，因过年这几天事多，没看到判责短信，昨天18号才看到，晚天晚上我申诉的，结果今天19号还判我有责，说我二次申诉要在四天内，我是在19日这前申的，这就判我有责，不让申诉，', '安全出行系心中', '安全出行，滴滴护航', '吸血鬼平台', '安全出行，平安回家', '安全出行', '这种科普视频挺好的，多跟警方合作']"
https://m.weibo.cn/status/K1zCYg7Ru?mblogid=K1zCYg7Ru&luicode=10000011&lfid=1076032838754010,Fri Feb 12 12:21:14 +0800 2021,滴滴携手江苏警方再次提醒大家：开车避免疲劳驾驶，清醒不困，新年才能大顺！,45,75,5,"['路路顺新年才能大顺！！', '杜绝疲劳驾驶，杜绝酒后驾驶。', '尤其是在路上开车，一定要隔一段时间休息一下。', '身体是革命的本钱，工作再拼也要劳逸结合。', '收到 拒绝疲劳驾驶，拒绝酒后开车！安全出行！', '休息好了再出门，不赶那一时的时间', '不仅不能疲劳驾驶，也不能酒后驾车', '牛年的第一条微博，小滴新年快乐', '交通规则记心间，新年出行才安全。', '每次长途都是和家人换着开的！', '你们有点过分了吧，年都过完了上班了，叫车还要加钱', '告各位滴滴特惠乘客，别不要脸打特惠还要中途等人！滴滴特惠一分钟时长费没有', '出门在外，安全第一[加油]', '赞👍', '滴滴客服，流氓软件，出事不理赔，勿用！']"
https://m.weibo.cn/status/K1sLCtk3t?mblogid=K1sLCtk3t&luicode=10000011&lfid=1076032838754010,Thu Feb 11 18:53:19 +0800 2021,滴滴祝大家新年快乐，大桔大利！送大家一份新年出行礼，快点击链接领取吧：网页链接,84,46,7,"['小编也辛苦啦，大年三十也不忘给大家发福利。', '向那些还奔波在路上的司机师傅们道一句辛苦了！', '这波打车卷太及时了，过年基本天天打车。', '这会领了，康康后半夜打车能用上不。', '今天打车真的太难了，得亏的有滴滴。', '新年快乐', '', '好哒', '新年快乐#滴滴出行网约产品代言人王一博#', '太恶心了！跑酷明明玩了金币！结果结束后金币没有到账过！', '喜欢👍', '石家庄什么时候恢复', '新年快乐', '新年快乐', '新年快乐，牛年大吉']"
https://m.weibo.cn/status/K1sreoDSd?mblogid=K1sreoDSd&luicode=10000011&lfid=1076032838754010,Thu Feb 11 18:03:05 +0800 2021,恭喜@barometer禁止55593 等3名用户等额平分【300元现金】。微博官方唯一抽奖工具@微博抽奖平台 -高级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,6,5,1,"['恭喜', '@核桃包xl：你们说明上写的晚上8点前一定会有车接单 而且7.30也接单了，7.55客服电话说派车过来 过一会就出现司机取消 系统自动延迟时间，接单半小时不能取消吗，怎么派车前五分钟取消，那你们希望客户怎么用车！', '@张家睿睿：在滴滴上打了一辆特惠快车，来了一辆出租车，直接取消我订单，到达目的地后强行按照打表费用收费，并且让我不给这么多钱不准走，这就是滴滴的让出行更美好？投诉无门，滴滴公司永远不会给乘客一个合理答复，只会逃避责任，我之前黑金会员，现在开始，我一次滴滴都不会使用，我会12315投诉到']"
https://m.weibo.cn/status/K1rhwp6hC?mblogid=K1rhwp6hC&luicode=10000011&lfid=1076032838754010,Thu Feb 11 15:06:24 +0800 2021,滴滴携手江苏警方提醒大家：大包小包加钱包，随身物品掏一掏，出门一定保管好！祝大家新年快乐！,39,23,4,"['之前丢过一次，后来客服帮我找回来了', '挺好的，每次下车司机都会提醒', '虽说丢东西的人比较多，还遇见过丢小孩的', '大包小包随身包，下车一定检查好', '每次下车都会检查一下东西', '下车司机师傅一般都会提示，关键是自己也要注意', '下车以前都会有语音提示，这点还挺好的。', '已经不知道在出租车上落了多少包了……', '也是给大家提个醒，都注意点。', '在网上叫车不怕落东西，基本都能找回来。', '有了滴滴以后打车再没丢过东西了', '司机线下可以另外收取叫什么返程费吗', '滴滴顺风车司机无故提前几个小时取消预约，大过年的，又是大半夜，到哪再去约车，滴滴客服倒是客气，我理解你，已经再给您解决了，给您5元作为补偿，我差你那5块钱吗？下午已经跟司机沟通过了，随便取消，这都大半夜了，谁还会接单', '东西丢在滴滴车上，查了各种监控确定是丢在车上的，司机师傅拒不承认请问怎么办', '别扯了，先把假单的问题解决了吧']"
https://m.weibo.cn/status/K1km6hoWB?mblogid=K1km6hoWB&luicode=10000011&lfid=1076032838754010,Wed Feb 10 21:28:27 +0800 2021,听说你们都在抢#微信红包封面# ？滴滴微信红包封面安排上了！ 在微信公众号「滴滴」聊天框输入关键字「滴滴哞哞，牛年大吉」，今晚10点 、11号12点 、12号12点定时发放 ，总计20000个，领完即止哦！,125,73,9,"['这次我必抢到', '有代言人封面吗', '现在好像自己也能做，不过需要好友点赞', '设计师加鸡腿，喜欢这种几何结构~', '已经定好闹钟了，今晚抢一下试试。', '这个我到了 这个有代言人的嘛', '这个牛牛有点像七巧板？还挺有意思的。', '这个牛还挺好看，有点像七巧板那种', '10点的那波马上要来了哟', '太好了朋友们手速太快啦，其他的都抢不到', '才2万个，不够抢的哦哈哈', '这次总不至于抢不到吧哈哈', '安排个代言人的呗', '领到了', '有代言人封面的吗']"
https://m.weibo.cn/status/K1k5c8FAh?mblogid=K1k5c8FAh&luicode=10000011&lfid=1076032838754010,Wed Feb 10 20:46:49 +0800 2021,#春节没回家的人都在干嘛# 小可爱们过年都回家吗？阖家团圆的日子里，有那么一群人诉说着不回家的理由，人虽不能至，但情已传千里。不回家的你春节有什么计划？来评论区告诉我们吧！祝大家新年快乐 滴滴出行的微博视频,37,39,18,"['今年不回家过年，坚守岗位，在公司组织下，在公园露营。', '向所有春节没有回家还在抗疫一线的工作人员致敬！也给所有没有回家过年的朋友们道声新年好！今年身边很多小伙伴都选择就地过年，然后我们就组织开车自驾游', '春节就和公司一群没有回家的人一起玩哈哈', '虽然能回家，但是买不到票可怎么办啊…', '和家人一起视频云过年啊', '还好上班的地方就是老家，所以也不是很麻烦', '去年就没回成家，今年也没有……', '感觉现在年味越来越不浓了唉', '列了一个拜年计划，感觉假期都不够用了，233333', '定了明天的半成品年夜饭，自己过年也要吃点好的。', '主要是来回很麻烦，要好几次核酸。', '跟留京的朋友攒了个轰趴剧，还蛮期待的', '不回家的理由很少，回家的理由千千万', '拜托滴滴干点实事，别只做表面的工作，多关注关注自己本身的漏洞', '打车砍价成功砍掉不到账']"
https://m.weibo.cn/status/K1h1PnBoK?mblogid=K1h1PnBoK&luicode=10000011&lfid=1076032838754010,Wed Feb 10 13:00:17 +0800 2021,春节来临，滴滴携手@平安江苏 推出春节安全出行短片，为了您的出行安全，要看到最后哦 滴滴出行的微博视频,40,43,4,"['平安出行', '车内喷酒精安全吗', '管管好你们的流程，把推卸责任不作为说的这么冠冕堂皇？你的意思不就是我的订单是飞嘀的，不关你的事？我就问你我是从滴滴上叫的车吗？你们只负责抽佣，不承担任何责任吗？平台这么容易做大家都做平台好了。你也不用做什么滴滴打车，都招揽第三方平台入驻，每天在家数数佣金不好吗？', '乘客不付钱，你处理的方法就是等着吧，真牛啊这处理方法，佩服啊，有录音有截图', '现在福利金也没了 分享也不让分享了。6元券大bug也不修复。存心不让人弄，那请问弄出来干嘛？', '喷酒精那里太真实了哈哈哈', '好多单位都提倡就地过年，在内在外都要注意防护', '司机师傅们过年还是很辛苦的', '下飞机打滴滴的时候，司机防护意识还是很严的', '口罩口罩，司机和乘客都应该佩戴口罩', '车内消毒勤通风，个人防护别马虎~', '疫情防控常态化，口罩千万不能落。', '咱们平台在疫情防控这块做的一直都挺不错的。', '现在出门不戴口罩都有点不适应了。', '为什么遭遇平台司机，临时加价。取消订单，还需要我承担取消费？']"
https://m.weibo.cn/status/K19Yk4uoX?mblogid=K19Yk4uoX&luicode=10000011&lfid=1076032838754010,Tue Feb 09 19:02:24 +0800 2021,牛气从天降你接的住吗？快来围观#牛师傅彩蛋车# 上的真实反应！橙心优选年货礼盒豪气惊呆网友！ 滴滴出行的微博视频,87,54,4,"['第一个乘客笑到我了，看了一眼然后溜了。', '司机师傅们穿的也太喜庆了，哈哈。', '原来司机师傅也姓牛啊', '我也想坐这个车，成都有吗', '哈哈哈这个女生太真实了，需要补一下妆', '坐上彩蛋车的乘客新年一定牛气冲天', '司机师傅发夹也太可爱了吧哈哈', '平台真是想方设法为大家送福利啊', '在上面买过水果，还挺便宜的。', '我们这橙心优选还没上线，真馋呀。', '好棒啊，喜庆啊', '老赖公司', '还钱', '还钱还我钱还我血汗钱', '老赖还钱']"
https://m.weibo.cn/status/K17uLmtNw?mblogid=K17uLmtNw&luicode=10000011&lfid=1076032838754010,Tue Feb 09 12:44:06 +0800 2021,全国近200个“滴滴年货站”致谢司机春节坚守，为司机发放春节礼包。,76,76,11,"['咱们是过年了，司机师傅们还要在路上奔波，辛苦了。', '每到逢年过节就是司机师傅们加班的时候。', '我爸单位这两天也发了不少米面油。', '平台的发展离不开广大司机师傅们的劳动与奉献，挺好的。', '预祝滴滴新年快乐，各位司机乘客新年快乐', '还我血汗钱！！！！！！！！！！！！！！还钱!!!!!!!!!!!!!!!!!!!!!!!!!', '还钱', '老赖滴滴还我血汗钱', '老赖滴滴欠钱不还', '还钱还钱还钱', '滴滴师傅辛苦了', '钱', '还', '钱', '我']"
