微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K2wBEpdnl?mblogid=K2wBEpdnl&luicode=10000011&lfid=1076036270489029,Thu Feb 18 18:30:03 +0800 2021,新年过得怎么样～今天是第一个工作日，祝大家开工大吉！这个春节尤为特殊，很多异乡漂泊的年轻人都选择了原地过年，这个特殊的假期，怪兽充电也想为大家加把劲儿，充个电！于是在2月11日，我们发起了活动，在微博 #电不断年有味# 的话题中分享新年时刻，即有机会赢取好礼，小编今天也如约来开奖了，就算不在亲人身边，也要让陪伴时时在线！陪大家过节，我是认真的！[暖一下][暖一下][暖一下],14,21,3,"['恭喜中奖的粉丝们@鹿孢孢他很man @Mr_柠檬12 @WAO倩-- @750D- @小可乐叭叭叭 @薛定谔的二氧化碳 @rui801 @Lleung-SW @许蘑菇咕咕 @小城知事City ，请留意稍后的私信哦！', '大家考虑抱紧我这只锦鲤吧', '感谢小怪兽呀', '超级开心！！！', '[单身狗][单身狗][单身狗]', '哇，恭喜', '没有我', '真棒', '一脸懵逼！中奖是看脸的吗？', '一直抽不到我']"
https://m.weibo.cn/status/K2wr7qfFq?mblogid=K2wr7qfFq&luicode=10000011&lfid=1076036270489029,Thu Feb 18 18:04:05 +0800 2021,"恭喜@Nili_鹿叔和他的猫 等6名用户获得【好运礼盒套装】, @铁牛NZBZ和敖不了夜 等3名用户获得【好运闷包】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台",1,3,1,"['[单身狗][单身狗][单身狗][单身狗]', '是我是我是我', '羡慕']"
https://m.weibo.cn/status/K2tAima91?mblogid=K2tAima91&luicode=10000011&lfid=1076036270489029,Thu Feb 18 10:48:28 +0800 2021,春节过的怎么样？宝宝们准备好投入到工作中了么？今天是#雨水#万物复苏之时！愿你在2021！支棱起来！[加油],6,9,1,"['支棱起来', '已经准备补寒假作业了', '还有十八天开学', '春天要来了']"
https://m.weibo.cn/status/K2sTvFRRQ?mblogid=K2sTvFRRQ&luicode=10000011&lfid=1076036270489029,Thu Feb 18 09:03:04 +0800 2021,恭喜@2021待我好一点吧 等5名用户获得【主创签名海报】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,0,0,0,[]
https://m.weibo.cn/status/K2suNk127?mblogid=K2suNk127&luicode=10000011&lfid=1076036270489029,Thu Feb 18 08:02:09 +0800 2021,恭喜@Lu鹿戏獐 等3名用户获得【定制充电宝】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,1,2,1,"['谢谢小怪兽！充电就用小怪兽', '啊啊啊啊啊啊啊中了！']"
https://m.weibo.cn/status/K2sas7bgP?mblogid=K2sas7bgP&luicode=10000011&lfid=1076036270489029,Thu Feb 18 07:12:02 +0800 2021,恭喜@王方方土1991 等3名用户获得【100元京东卡】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,0,0,0,[]
https://m.weibo.cn/status/K2s6p2F1p?mblogid=K2s6p2F1p&luicode=10000011&lfid=1076036270489029,Thu Feb 18 07:02:03 +0800 2021,恭喜@轩-珍藏红白玫瑰 1名用户获得【100元耀出行app尊享体验卡】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,0,0,0,[]
https://m.weibo.cn/status/K2aO0h3bx?mblogid=K2aO0h3bx&luicode=10000011&lfid=1076036270489029,Tue Feb 16 11:00:03 +0800 2021,新年仪式感必须在线， #初五# #迎财神# 绝不错过！怪兽充电陪你过节，让你的新年更有味儿！2月11至18日，带话题 #电不断年有味# 发布微博，分享自己“云过年”的故事，我们将从其中选出10位送上100元新年红包+定制宝！[迎福运][迎福运][迎福运],3,7,8,"['#电不断年有味# 过年好', '#电不断年有味# 初六送走穷鬼 赚大钱[福到了]', '#电不断年有味#第一次一个人在外地过年伤心', '#电不断年有味#破五吃饺子', '#电不断年有味#迎财神', '#电不断年有味#', '#初五# #迎财神# #电不断年有味# 希望2020所有的遗憾，都是2021惊喜的铺垫！ 再也不见2020！']"
https://m.weibo.cn/status/K237K5Q7D?mblogid=K237K5Q7D&luicode=10000011&lfid=1076036270489029,Mon Feb 15 15:26:42 +0800 2021,没电的时候还有我哦,1,2,0,[]
https://m.weibo.cn/status/K21LRoZhI?mblogid=K21LRoZhI&luicode=10000011&lfid=1076036270489029,Mon Feb 15 12:00:03 +0800 2021,他们来了！这样的鼬和小南也太“杀”我了！！！怪兽充电 X @火影忍者手游 联合推出【火影手游新春定制宝】新春蓄力，让我们满电出击！关注@怪兽充电EnergyMonster 转+评+赞 你觉得那位更赞，抽6位送火影正版周边！#游戏时刻 怪兽续航#,384,373,360,"['#火影忍者手游新年祭#决斗场“电量不足”？怪兽续航满电出击！#火影忍者手游#', '鼬神！！！抽我', '冲冲冲！鼬神帅我一脸', '新年快乐 鼬神无敌！！！', '我的鼬！我的神！我的鼬神！', '当然是鼬神', '宇智波鼬，鼬神。', '', '鼬！！！鼬神太棒了！', '中！', '新春蓄力，满电出击，能不能抽到我呢？', '这两位忍者我都买了，角斗场可以的，哈哈希望抽中我，要是没中我就去买一个，哈哈', '鼬，永远的神', '还有我啊，宝贝，抽我!', '哇！我可以拥有吗！']"
