微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K1DRVqZQh?mblogid=K1DRVqZQh&luicode=10000011&lfid=1076035902738661,Fri Feb 12 23:09:03 +0800 2021,恭喜@先爱月亮 等2名用户获得【2张电影票】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,0,4,0,[]
https://m.weibo.cn/status/K1DtbhC5S?mblogid=K1DtbhC5S&luicode=10000011&lfid=1076035902738661,Fri Feb 12 22:08:05 +0800 2021,恭喜@十杯白开水_ 等2名用户获得【2张电影票】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,0,0,0,[]
https://m.weibo.cn/status/K0OhPpXil?mblogid=K0OhPpXil&luicode=10000011&lfid=1076035902738661,Sun Feb 07 11:50:03 +0800 2021,勤勤力力，怒宝打工人来电科技x怒宝潮玩，联名订制款充电宝，春节期间，北京，上海，成都，广州，深圳五市联动，为勤勤恳恳的打工人加油打气！,2,10,1,"['你们租完充电宝，就把机器断电，然后造成顾客还不上，这个涉嫌敲诈吗？', '明明已经还了，却还说没还，扣了我100元，真是无敌大垃圾。找客服，客服回复的特别慢，我想应该是故意的，还讹诈钱。', '期待重庆。', '这充电宝太垃圾了，建议大家不要用，坑人。而且租点很少。']"
https://m.weibo.cn/status/K0NVTh3gR?mblogid=K0NVTh3gR&luicode=10000011&lfid=1076035902738661,Sun Feb 07 10:56:00 +0800 2021,来电科技XFLYNEWSX刺杀小说家不服命运，只因信念看小说家下笔扭转乾坤春节档视效大片大年初一一起冒险一起来电#刺杀小说家##flynews##cashart#转发微博，抽2位粉丝各送2张电影票！ 抽奖详情,42,92,291,[]
https://m.weibo.cn/status/K0y1zuXYw?mblogid=K0y1zuXYw&luicode=10000011&lfid=1076035902738661,Fri Feb 05 18:26:03 +0800 2021,哪吒闹春节，牛年热血燃！最强贺岁档电影《新神榜：#哪吒重生#》即将在大年初一上映，来电科技携手广州人主场@广州地王广场为电影助力，打造电影主题快闪店，粉丝们赶紧过来打卡，来电邀您大年初一，热血开年！一起感受国漫的传承与创新探索！,3,3,0,['你们充电宝是真的恶心，再同一台机子上借，不能在同一台机子上还，要还还要跑到其他有来电的的地方，其他地方都好远，充电宝连一台手机都充不满。。。硬逼着用户到第二天才能还。。。冲一次电扣你几十块还冲不满。。。早日倒闭']
https://m.weibo.cn/status/K0ws9ExXy?mblogid=K0ws9ExXy&luicode=10000011&lfid=1076035902738661,Fri Feb 05 14:26:03 +0800 2021,哪吒闹春节，牛年热血燃！最强贺岁档电影《新神榜：#哪吒重生#》即将在大年初一上映，来电科技携手@火凤祥鲜货火锅为电影助力，为粉丝送福利，凭电影票根，到火凤祥全国所有门店可享菜品优惠8.8折！来电邀您大年初一，热血开年！一起感受国漫的传承与创新探索！,7,3,3,"['郑恺来了来了', '@火凤祥鲜货火锅']"
https://m.weibo.cn/status/K0uQjnM9I?mblogid=K0uQjnM9I&luicode=10000011&lfid=1076035902738661,Fri Feb 05 10:20:03 +0800 2021,哪吒闹春节，牛年热血燃！最强贺岁档电影《新神榜：#哪吒重生#》，《白蛇：缘起》制作团队年度钜献，带来全新的封神世界观，热血现代版“新哪吒”李云祥，掀起激燃神仙大战，引爆荷尔蒙！@追光电影新神榜哪吒重生，来电邀您一起大年初一，热血开年！转发微博，抽2位粉丝各送2张电影票！2位粉丝各送2份电影周边！ 来电共享充电宝的微博视频 抽奖详情,18,29,110,"['预告以更酷、更潮、更年轻化的视角和技术，演绎了一个现代版哪吒故事。最终硬核的东方朋克风，不仅充满视觉冲击，更成为人物性格与态度的注脚。封神榜即将重排，东海之浪再起，大年初一且看东海众生火爆迎战，“牛”转乾坤，期待观影', '哪吒重生超级厉害！感受最震撼的视觉享受，魅力无比！剧情与众不同！人物美型，好看不错！超级喜欢的', '惊艳无比的特效！帅气逼人的造型！色彩斑澜好看！超级喜欢的动画电影！期待过年感受电影魅力不错期待', '超级好看，好久没看电影！要去电影院要去支持一下！剧情不错呀！祝福票房大卖', '剧情口碑不错，有趣的电影，喜欢电影很精彩！期待再次能去在大荧幕感受戏剧张力，真的很棒看电影走起', '转发微博', '', '转发微博', '题材新颖，好看喜欢💕我爱看电影，支持活动，生活太枯燥！要去看电影！好看一定会要看的', '轉發微博', '轉發微博', '转发微博', '转发微博', '转发', '来试试']"
https://m.weibo.cn/status/JFT9G24Nw?mblogid=JFT9G24Nw&luicode=10000011&lfid=1076035902738661,Mon Feb 01 16:51:51 +0800 2021,国家5A级旅游景区开封清明上河园“牛转乾坤”年卡重磅来袭！预售仅需108元/人！春节、五一、十一均可使用！全年不限天，全天不限次！更有1314元/人超值“牛气冲天”终身卡，再送2021年满庭芳精品住宿1晚和2021年《大宋·东京梦华》御座票1张！详情请持续关注@清明上河园官方微博 ！,6,3,2,"['太美了吧', '#清明上河园# 重磅！全新升级版清明上河园年卡正式预售！牛年牛转乾坤、牛气冲天就全靠它了！']"
https://m.weibo.cn/status/JFoqpu4ee?mblogid=JFoqpu4ee&luicode=10000011&lfid=1076035902738661,Fri Jan 29 10:37:55 +0800 2021,穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！ 抽奖详情,10,84,153,"['#广州有个新花市# //@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市# //@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#快去买花花吧//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#好//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#好//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#不错//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市#转发，分享你的花市记忆，2.3！//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '花多人多#广州有个新花市#//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！', '#广州有个新花市# 花花世界//@来电共享充电宝:穿粤花地湾，一起广州年！参与原博互动，送助农年桔、蝴蝶兰~随手@来电共享充电宝 @花地湾生活馆＋带话题#广州有个新花市#转发，分享你的花市记忆，2.3抽2位粉瓜分200元京东卡！']"
https://m.weibo.cn/status/JEP6RsNE8?mblogid=JEP6RsNE8&luicode=10000011&lfid=1076035902738661,Mon Jan 25 16:43:38 +0800 2021,初恋是CV大神超话#初恋是CV大神#正在优酷热播中小伙伴们追剧的同时也要注意手机电量啊！来电一下！继续看声优大神的漫漫追妻路！@初恋是CV大神官微@铭亮Min @王莫涵_iki @方晓东转发此条，1月28日电电会揪出1位电粉获得《初恋是CV大神》电影定制充电宝每人一个5位电粉获得《初恋是CV大神》定制徽章每人一枚,17,14,41,"['好可爱', '哇哦，好看的！大家一起来看铭亮演的初恋是VC大神哦', '来了', '来了呀', '想要', '#初恋是CV大神# 哈哈哈，现在好有(⊙o⊙)哦', '帮朋友来了', '想要充电宝', '冲冲冲鸭', '方晓东方晓东', '好好看', '初恋是大神', '有在追剧中']"
