微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/JvowIe9id?mblogid=JvowIe9id&luicode=10000011&lfid=1076035889599357,Tue Nov 24 16:30:25 +0800 2020,哈哈~没想到吧，看看这波沙雕➕魔性的 #互联网人成语新解# ，你以为街电只能租借充电宝？内外兼修玩成语，我们也是专业滴～ 参与街电5周年庆生活动，赢取出其不意的新品好礼！关注@街电 带话题转发本条微博，11月30日抽5位朋友平分【2500元京东卡】街电5周年，随时随地，精彩生活！ 街电的微博视频 抽奖详情,619,1517,2862,"['祝我的老铁@街电 五周岁生日快乐，一往5前，5所畏惧，新的一岁，冲鸭！', '祝我的老铁@街电 五周岁生日快乐，一往5前，5所畏惧，新的一岁，冲鸭！', '祝我的老铁@街电 五岁生日快乐！小海为街电庆生，动动你的手指就能扭转乾坤！关注我和@街电 ，带话题#互联网人成语新解# 转发，11月30日抽2人平分200元京东卡～伸出你的手give me five，从现在起跟街电一拍即合！', '祝我的老铁@街电 五周岁生日快乐，一往5前，5所畏惧，新的一岁，冲鸭！', '祝我的老铁@街电 五周岁生日快乐，一往5前，5所畏惧，新的一岁，冲鸭！', '#互联网人成语新解#谢谢，我就是五位好朋友，哈哈哈', '#互联网人成语新解#梦想还是要有的，5周年快乐', '#互联网人成语新解#', '#互联网人成语新解#', '五岁生日快乐！ #互联网人成语新解# 伸出你的手give me five，从现在起跟街电一拍即合', '#互联网人成语新解#', '#互联网人成语新解#棒棒哒🎉', '#互联网人成语新解#', '#互联网人成语新解# 智能生活', '#互联网人成语新解#帮助']"
https://m.weibo.cn/status/K2xZLmflW?mblogid=K2xZLmflW&luicode=10000011&lfid=1076035889599357,Thu Feb 18 22:02:12 +0800 2021,恭喜@沙拉精本精 等6名用户获得【街电×欢乐斗地主联名充电宝1个】。微博官方唯一抽奖工具@微博抽奖平台 -高级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,0,0,0,[]
https://m.weibo.cn/status/K2tVnkWNs?mblogid=K2tVnkWNs&luicode=10000011&lfid=1076035889599357,Thu Feb 18 11:40:24 +0800 2021,喜迎牛年，街电和好朋友@大地影院 大地君带着#大地影院集团新春享好礼# #2021就地过年指南# 来啦！ 打开过年✅正确方式！ 祝大家开工大吉，事事顺心,3,4,1,['//@街电:喜迎牛年，街电和好朋友@大地影院 大地君带着#大地影院集团新春享好礼# #2021就地过年指南# 来啦！ 打开过年✅正确方式！ 祝大家开工大吉，事事顺心']
https://m.weibo.cn/status/K2t9zvxDE?mblogid=K2t9zvxDE&luicode=10000011&lfid=1076035889599357,Thu Feb 18 09:42:38 +0800 2021,#你该充电了# 假期结束，迎来元气满满的返工日！电妞儿给你充充电，加油加油,4,4,1,"['好的给我充满电[暖暖的]', '']"
https://m.weibo.cn/status/K1SAsDUJS?mblogid=K1SAsDUJS&luicode=10000011&lfid=1076035889599357,Sun Feb 14 12:37:15 +0800 2021,新年行大运，快乐充不停～电妞儿在这里祝大家新年快乐啦。精彩生活，随时随地，你的新年精彩，就让街电帮你充充满吧！关注@街电 ➕转发本条，大年初六抽10位小可爱每人各送出2张电影通票兑换券！ 抽奖详情,104,189,1334,"['没毛病，期待想要@奀奀 @GEM的康康康 @我就是天下第二', '期待《唐人街探案3》前两部陈思诚构建了非常酷炫的侦探世界和推理情节。在悬疑的基础上融合了动作，喜剧等多重风格，还有众多大咖加持。这一次来到推理之都东京，在剧情上还是非常放心的，而且超级想知道之前的Q究竟会是谁', '电影通兑券快到碗里来！！！', '好想要拥有幸福喲！', '好想要拥有幸福喲！', '快行动起来吧!', '福利来了!', '愿幸运之神照耀着……👏👏👏', '情人节快乐', '充个不停', '期待着好运气……', '手机没电的时候街电救我命', '新年快乐看电影', '试试', '小可爱来啦']"
https://m.weibo.cn/status/K1Bw6AFyW?mblogid=K1Bw6AFyW&luicode=10000011&lfid=1076035889599357,Fri Feb 12 17:09:49 +0800 2021,#北京台春晚节目单# 来啦！有颜值，有实力，好看又好听；有欢笑，有感动，温暖有人性。#北京台春晚# 快来看看你最期待的节目在哪里吧～ 电妞儿给您拜年啦,5,2,0,['新年好']
https://m.weibo.cn/status/K1pLlrwCy?mblogid=K1pLlrwCy&luicode=10000011&lfid=1076035889599357,Thu Feb 11 11:14:24 +0800 2021,#福到好运到# 新春将至，牛气充天！【街电×欢乐斗地主联名充电宝】来啦！与@欢乐斗地主 一起，全方位充满你的新春生活，让你的欢乐电力满满！关注@街电➕转发本条，2月18日抽6位小可爱各送一个【街电×欢乐斗地主联名充电宝】。欢乐不断电，决战到天亮！电妞儿跟你一起，欢乐过大年啦！ 抽奖详情,47,76,227,"['我来试试', '福到好运到# 新春将至，牛气充天！', '冲冲冲', '再转一次！', '转发微博', '@2021赚钱买房子', '', '转发微博', '好看的，', '再转一次 我对收到的扑克牌很不满意', '转发微博', '来', '来了', '新年好', '好']"
https://m.weibo.cn/status/K1pJA9VeD?mblogid=K1pJA9VeD&luicode=10000011&lfid=1076035889599357,Thu Feb 11 11:10:03 +0800 2021,新年好呀，新年好呀~祝福大家新年好~新年你最想收到什么？我来猜猜，是红包吗？来百度APP搜【拜年红包】，领取最高666元红包，关注@街电+转发此微博，电妞儿将在2月17日抽一位小伙计送出【100元京东卡】#搜索有年味# 抽奖详情,42,87,327,"['#搜索有年味#', '@2021赚钱买房子', '财神到', '接财神', '财神到', '新春快乐', '新春快乐', '转发微博', '#搜索有年味#', '#搜索有年味# 开工大吉', '#搜索有年味#', '#搜索有年味#', '#搜索有年味#', '#搜索有年味#', '#搜索有年味#']"
https://m.weibo.cn/status/K1kDNpZOS?mblogid=K1kDNpZOS&luicode=10000011&lfid=1076035889599357,Wed Feb 10 22:12:04 +0800 2021,恭喜@小明小明王小明 等5名用户获得【【街电 x 欢乐斗地主限量牛年礼盒】一个】。微博官方唯一抽奖工具@微博抽奖平台 -高级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,1,0,0,[]
https://m.weibo.cn/status/K1fQFArJq?mblogid=K1fQFArJq&luicode=10000011&lfid=1076035889599357,Wed Feb 10 10:00:03 +0800 2021,牛年好运不断电，精彩牛气充充充！街电与波奇宠物一起#和宠物过年#啦！关注@街电 和@波奇网，带话题#和宠物过年#转发说你的春节打算怎么度过，2月26日抽2位小可爱各送100元京东卡过节费！ 抽奖详情,30,93,161,"['#和宠物过年#出去溜溜！', '情人节快乐#和宠物过年#', '#和宠物过年#', '#和宠物过年# 躺着', '#和宠物过年# 和同学一起', '#和宠物过年#', '#和宠物过年#', '#和宠物过年# 躺着', '#和宠物过年#', '#和宠物过年# 新春快乐', '#和宠物过年#', '#和宠物过年#吃喝睡觉', '幸福快乐#和宠物过年#', '#和宠物过年# 过年去乡下没有带狗狗，好在每天晚上都能按时回家，然后带狗狗去公园遛一遛，过年狗狗骨头吃得比较多，总是容易便秘，乳酸菌都吃了好几排了', '#和宠物过年#玩猫']"
