微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K2wBWbgWG?mblogid=K2wBWbgWG&luicode=10000011&lfid=1076033949575070,Thu Feb 18 18:30:45 +0800 2021,困困困困困困困困困困困困,60,38,2,"['上班了，困困困困困，下班了，不困啦！', '？', '俺也困。', '第一', '哈哈哈哈哈哈哈哈哈哈哈哈', '不行我的餐还没到送完我的再睡', '给我整份外卖就不困了', '？', '美团', '累了困了💤 喝什么？', '你好可爱团团', '美团外卖 送啥都快', '起来起来起来起来', '出来跑单不困。', '俺也一样']"
https://m.weibo.cn/status/K2u72mSzf?mblogid=K2u72mSzf&luicode=10000011&lfid=1076033949575070,Thu Feb 18 12:09:08 +0800 2021,恭喜@要成为自己哦 等10名用户获得【100元外卖卡】。微博官方唯一抽奖工具@微博抽奖平台 -高级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,4,7,0,"['恭喜。', '还是加速度非常快擦过去一旦撞到不堪设想！早就有过美团外卖骑手撞到老人后来来老人挂了的负面新闻！你家的黑料还少吗？ 骑那么快赶着投胎？好自为之！', '请问打美团客服直接被挂电话怎么处理？', '为什么春节假期已经结束了但我们这里的外卖费还是要7元!?', '图片评论']"
https://m.weibo.cn/status/K2tF03xtc?mblogid=K2tF03xtc&luicode=10000011&lfid=1076033949575070,Thu Feb 18 11:00:03 +0800 2021,"开工第一天，送你好心情~ 快来领取属于你的开工红包，千万不要错过""一个亿""！打开美团外卖App搜索""新春红包""或者戳链接网页链接 立即领，只在2月18日-2月21日，手慢无~",9,7,0,"['冲冲冲。', '', '团你妈个电影票比app贵10好几 还不给退换 淦你👄', '加量包8折，配送费9块钱，商品界面和结账界面价钱都不一样，要付钱直接涨了十几块，你们就这么对待熟客的？', '受不起，点了个外卖，送了个空气，我还没投诉，外卖小哥先发消息骂人威胁，真牛逼', '疯了吗']"
https://m.weibo.cn/status/K2apEkhdh?mblogid=K2apEkhdh&luicode=10000011&lfid=1076033949575070,Tue Feb 16 10:00:03 +0800 2021,#周二福利日# 评论区留言，立一个新年flag，抽1人送出100元外卖卡一张~,61,245,18,"['希望2021天天开心，梦想成真，财源滚滚。', '新的一年可以进级部前六十', '新的一年可以追星自由', '新的一年，接着自律的生活，早睡早起，坚持运动，多赚钱，争取年底攒下钱！', '胡吃海喝不发胖，工资翻倍又不忙', '争取少吃多运动，瘦一点', '做一个按自己计划走的人！', '今年9月前减掉40斤', '父母身体健康，自己赚好多好多钱，赚到能养一家人。', '美团外卖红红火火！家人吃的开开心心！身体健康', '希望新的一年，学业进步，平安喜乐，万事胜意。愿所有的霉运都走的远远的，好运连绵，幸福天天到！', '希望父母身体健康，自己学业顺利，美团大卖！', '2021年考试过过过，牛年行大运，发大财', '新的一年新的开始努力做好每一件事情不拖拉有计划', '希望宝宝能来，已经等baby一年了，加油加油加油！！']"
https://m.weibo.cn/status/K22eIEsqg?mblogid=K22eIEsqg&luicode=10000011&lfid=1076033949575070,Mon Feb 15 13:11:09 +0800 2021,万分祝福跟着万物到家，祝大家新一年，万分可爱 万分健康[加油] 万分酷炫 万分浪漫 万分幸运 万事如意#宅家过年神技能#网页链接,270,41,173,"['对顾客评头论足外貌羞辱不堪入目的就是你们的外卖小哥是吧', '你们家外卖小哥对顾客外貌指手画脚的问题解决了吗', '万分不满意，骑手素质太差，接那么多单，超时几十分钟，打电话态度不好，正通话中两次挂电话拒！拒收就挂门把手上点送达！别光顾着宣传了，给顾客真正服务好，有口碑还需要打广告？', '万分幸运 万事如意', '美团外卖加腾讯视频的联合会员，怎么突然没有了？', '', '超了半个小时 态度恶劣 我说不需要了 申请了退款 一个电话来就是骂人 说要来敲门 来堵我 真的是受气！', '#宅家过年神技能#美团外卖永远的神，我们这里美团外卖过年没有打烊，多亏了美团外卖，我才能宅在家里舒舒服服的', '#宅家过年神技能#过年期间美团外卖不打烊 想吃什么直接点开app送到家 太方便了', '常用账号涨我这里的商品价格和配送费什么操作？恶不恶心？这平台也是差到家了', '还是加速度非常快擦过去一旦撞到不堪设想！早就有过美团外卖骑手撞到老人后来来老人挂了的负面新闻！你家的黑料还少吗？ 骑那么快赶着投胎？好自为之！', '想干什么就干什么的假期过去啦，此刻我对外卖小哥瑞思拜', '您配送费都快赶上我一杯奶茶了呢亲亲', '美团外卖送餐员捡到手机拒不归还。有全套监控视频为证，送餐员拒不承认，美团官方请给一个合理解释', '什么时候开发一下QQ钱包支付的功能呢']"
https://m.weibo.cn/status/K1Sln9yKQ?mblogid=K1Sln9yKQ&luicode=10000011&lfid=1076033949575070,Sun Feb 14 12:00:03 +0800 2021,#心动升级，为爱献礼# 2.14情人节要来啦~越过这方寸屏隔空相爱吧，美团外卖联合玛氏箭牌 @德芙悦时刻 浪漫告白甜宠来袭，上美团外卖App，美团骑手代替你送ta心语巧克力，安心又甜蜜~情人节，浪漫告白，解锁心动蜜玛！更有超值满减，专享神券，先到先得，为爱献礼！网页链接,8,15,0,"['', '几百米的距离配送费8块！！！', '为什么配送费这么贵？？', '客服一小时了没有人接单，在线电话都没人接', '没人评论的吗？', '能给我的爱豆也送一盒嘛', '现在买还有优惠吗？', '甜', '不是说不打烊吗，可是为啥晚上很早全体外卖员都没了，只有商家自送啦？']"
https://m.weibo.cn/status/K1RyEB55S?mblogid=K1RyEB55S&luicode=10000011&lfid=1076033949575070,Sun Feb 14 10:00:03 +0800 2021,#情人节# 袋鼠君在线教你表白，只能帮你到这啦,15,9,1,"['真好。', '加油！', '还是加速度非常快擦过去一旦撞到不堪设想！早就有过美团外卖骑手撞到老人后来来老人挂了的负面新闻！你家的黑料还少吗？ 骑那么快赶着投胎？好自为之！', '今儿个就给小姐姐点上一打', '男盆友喜欢吃牛排，怎么告白']"
https://m.weibo.cn/status/K1LADgW3N?mblogid=K1LADgW3N&luicode=10000011&lfid=1076033949575070,Sat Feb 13 18:48:25 +0800 2021,哒哒哒，万分欢乐颂，送送送到家，外卖不打烊，啥都送到家#宅家过年神技能# 网页链接 美团外卖的微博视频,34,19,237,"['不是应该说，您好，美团配送吗', 'meituan 6666', '祝福美团，事业越来越牛！', '#宅家过年神技能#真心喜欢美团外卖，在过年这种时候外卖不打烊，真的是吃货的最大幸福！呜呜呜谢谢！', '收货人手机号和下单账户的手机号必须匹配，这样很不方便', '#宅家过年神技能# 美团外卖过年不打烊，真的给了我很大帮助，我太懒了', '#宅家过年神技能# 我现在觉得美团外卖超级厉害，什么都给送。', '都超时了也没有骑手接单，客服催过了，还是没有接单，我……', '#宅家过年神技能# 真的是我们宅女的福利啊！！美团外卖我每次都冲会员，不定期就定一份外卖犒劳一下自己！', '#宅家过年神技能#宅在家里不想动非常想喝奶茶马上就打开美团外卖啦！！真的有很多奶茶可以选择呀很完美！！', '#宅家过年神技能#宅在家里不想动！懒得做饭的我第一个想到的就是美团外卖啦！！哈哈哈肥宅的快乐源泉', '#宅家过年神技能#就是打开美团外卖啦！！舒舒服服的躺着点一点就什么都可以送到家里啦', '#宅家过年神技能#在家一定少不了美团外卖的陪伴啊！！哈哈哈我的肥宅快乐水就靠它啦！', '#宅家过年神技能#今天刚刚在家点了美团外卖呀！不打烊这个真的是过年神器，不会做饭的人也可以吃好喝好了！', '我这里很早就打烊了，可别说不打烊了']"
https://m.weibo.cn/status/K1JJucP6u?mblogid=K1JJucP6u&luicode=10000011&lfid=1076033949575070,Sat Feb 13 14:04:45 +0800 2021,祝你牛年事事顺，小哥春节天天见,17,15,1,"['祝大家新年快乐，牛年大吉。', '消费券根本找不到哪里领，连界面都没有', '你们配送费贵的离谱了吧，三公里的东西九块钱配送费？', '被小哥的笑容圈粉了', '想起了《在一起》中小哥抓猫的画面', '外卖小哥真的热心肠，每次迷路的时候都问外卖小哥', 'app崩了', '外卖小哥比较辛苦//@美团外卖:祝你牛年事事顺，小哥春节天天见']"
https://m.weibo.cn/status/K1J1Fn3YH?mblogid=K1J1Fn3YH&luicode=10000011&lfid=1076033949575070,Sat Feb 13 12:16:47 +0800 2021,祝小哥们2021顺利脱单,15,12,0,"['祝小哥们2021顺利脱单', '还是加速度非常快擦过去一旦撞到不堪设想！早就有过美团外卖骑手撞到老人后来来老人挂了的负面新闻！你家的黑料还少吗？ 骑那么快赶着投胎？好自为之！', '单身的我竟然跟着一块唱了起来', '店家：我以为你们来取餐，没想到你们竟然来唱歌', '哈哈哈~嚎出了我的心声', '外卖小哥这声音能出道了']"
