微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K2Edd4f26?mblogid=K2Edd4f26&luicode=10000011&lfid=1076031282440983,Fri Feb 19 13:51:48 +0800 2021,关于骑士过年奖励的说明饿了么推行的针对众包优选骑士过年奖励，是春节补贴之外的额外年终激励。初衷是保证春节供应，也让骑士能多挣钱。奖励期从1月11日开始至2月28日结束，一共分为七期，每期七天，每期有固定的送单量任务。骑士累计完成大于三期送单量，则可获得奖励。完成期数越多激励越高。并非网上所说某一期完不成则没有奖励。我们确实在一些城市和商圈的单量预估出现偏差，导致第六期（2月15日—21日）在进行中，这些区域目标偏高。在此我们真诚向骑士朋友们致歉。我们已经采取两项行动：2月21日第六期结束后，我们会整理出全国所有的订单有偏差的区域名单，额外增加补偿活动，并公布给骑士。我们还会优化最后一期活动的单量设计，让更多骑士得到奖励。饿了么,18655,2157,364,"['滚吧', '你bbb那么多倒是把每个阶段完成有多少钱说出来啊，对比下就知道你是啥货了', '哇塞 不被曝光不会出来解决的吧 压榨骑手的劳动成本很爽吧 赚了很多钱吧？', '直接提高骑士的春节补贴吧', '补偿活动？听听！果然狗嘴里吐不出象牙', '希望最终的名单能全网公布 大家都能监督一下👌🏻', '对你来说8200可能也就轻轻松松上半个月的工资，但是对外卖小哥是过年不回家，一单一单跑出来的，从上次的保险到这次真是恶心至极！！！！亏我还是饿了么年会员！！我呸呸呸！！！', '饿了么这是第几次道歉了？建议改名饿死了么', '去尼🐴的', '“额外增加补偿活动”，你们还想借机继续压榨打工人？', '补偿多少呢？补偿2000是补 补偿20也是补', '我商家发单18.5，骑手拿到4.5，你们平台真的是棒极了', '资本家就是吸血，等于没说，结束之后再补偿补偿数值不还是你们可以随意调节的吗？', '春节我们都是付了春节运费的，就该给骑手', '翻译：没错，我们是加了指标。当然了，骑手完成不了我们也会发一点小钱钱，不过之前承诺的8200元奖金别想拿完整（本来也没想让骑手拿完整）。因为网友太吵，我们决定给吵吵厉害的区域的骑手再加些单，并起名叫“补偿活动”。']"
https://m.weibo.cn/status/K2vZ51sMs?mblogid=K2vZ51sMs&luicode=10000011&lfid=1076031282440983,Thu Feb 18 16:55:01 +0800 2021,你们开工点的第一顿外卖是什么呀？评论区我们来唠个五毛钱叭#开工大吉#,41918,2855,88,"['老板的🐮画的害挺像', '还搁这岁月静好呢？优选骑手的任务量变化的事情不解释解释？身为行业龙头，是没挨过社会主义铁拳怎么着？', '吃人血馒头 坑害骑手', '今年第一顿外卖打算吃这个决策的制定人的脏心脏肺', '人血馒头好吃吗', '听说你们又在坑骑士', '8200元奖金的事，不跟大家聊聊么！骑手大过年的给你们打工，不带心疼的么', '@吴敌敌敌：我有个表哥加盟了一个地区饿了么 赔个底掉，算他自己投资失败，但你克扣骑手奖金，真他妈不应该。谁没家？谁不想回家过年，艹', '资本家吃人血', '真无耻，第几次了啊？先是保险后又整这一出？', '大年初四380单，你们祖坟冒黑烟了？生出这么个奸诈的东西，这是人想出来的？', '7天320单，刚看新闻看到了，连自家骑手都能恶心一番，成功把吃瓜的也恶心到了', '点nm呢，吃人血的资本主义家', '你们脸呢', '当个人吧，我们是可以不点外卖的']"
https://m.weibo.cn/status/K2nLGw4ao?mblogid=K2nLGw4ao&luicode=10000011&lfid=1076031282440983,Wed Feb 17 20:00:03 +0800 2021,万家.灯火11|红伟说，我的店叫红翻天，新一年希望每个人都会红红火火，运气翻天！,4155,273,4,"['要么好好让骑手过个好年，2900多就想忽悠骑手辛辛苦苦一个月？', '在？？出来解释一下骑手春节补助的事情？？？', '垃圾饿了么，坑顾客，坑商家，坑骑手', '吃人血馒头 坑害骑手', '玩不起饿了么，吃相太难看了', '改名吧，叫饿死你', '8200人血馒头 真的恶心', '之前是等5分钟，现在又克扣外卖小哥，真垃圾', '饿了么能对骑手好点不？大资本家吃干抹净的样真让人作呕，也许这就是你们不顾一切搞垄断的的原因吧？商家客户骑手你都压榨，真恶心，做企业只知道赚钱连最起码的社会责任感都没了！', '你们他妈过年涨外卖费还要坑骑手？大企业行为是吗？恶心人吗的', '别装看不见，资本家们吃着空运高档牛排的时候想想多少普通人需要这8200块钱，快别恶心人了。', '春节补助说一下啥情况呀', '已经卸载饿了么，平台不要脸', '你再不努力的坑骑手 你怎么能干掉美团啊', '平台不要脸 骑手的过年补贴都克扣 吃相太难看']"
https://m.weibo.cn/status/K2elbF1PQ?mblogid=K2elbF1PQ&luicode=10000011&lfid=1076031282440983,Tue Feb 16 20:00:03 +0800 2021,万家.灯火10|祝姐说，每年的愿望都是同一个：能帮到更多的人，跑更多的单，赚更多的钱，过平凡的生活。,701,108,4,"['长线活动460单 你们良心不会痛吗.日均60单,商家都还没有营业,要骑手老命去干15.6小时完成指标吗', '春节期间高额配送费什么时候可以降下来？', '我们顾客春节期间给了那么高的配送费，到头来，外卖小哥的春节奖励拿不到，要点脸吗，舔着脸好意思吗，这个么大个企业，做事太恶心。', '这讽刺啵。这位高调宣传的祝姐，就算每天跑满上限五十单，也完不成七天380单的目标。于是问题来了，这个380单的目标是什么样的人才定得出来的？', '你们平台怎么管理的，我点个餐送了一个半小时我申请退款，告诉我进小区了，拒绝退款，凭什么，这样的商家你们还纵容？可耻', '解决问题啊给', '点了一份外卖，用了无数次的地址居然后台给骑手定位错了，导致订单取消，打客服电话没人接，申请客服处理没人理。连商家也建议以后用美团外卖…白瞎了我充了那么久的会员！以后用美团，再见', '', '你就会说这些正面的。你咋就不把那些让人心酸的故事都讲出来呢？你怕丢人吗？那他们辛苦跑的那一单，谁为替他们买单呢？你们这样子，就算诈骗。骗人心，骗人骗钱。人家要就给人家么是吧！咋了？人家劳动了，你给人家钱还有错吗？你还搞什么拼多多……', '举报广州市海珠区江南西站站长新人介绍费不发放！', '春节期间点了麦当劳', '太辛苦了', '你们这么大的公司还吭人家骑手的钱，也是无语了。大过年的，设置奖金，在别人快完成的时候突然更改规则，加大快一倍的量，良心还没有没有啦…………', '骑手春节补助的事你们怎么解决？ 没有良心的东西', '']"
https://m.weibo.cn/status/K24UHaefs?mblogid=K24UHaefs&luicode=10000011&lfid=1076031282440983,Mon Feb 15 20:00:03 +0800 2021,万家.灯火09|橙子说，如果说平生有什么所求，那可能就是执子之手，与子偕老吧。,193,63,2,"['深圳这周要拿积分要完成330才能拿积分，完不成少4000多块钱，你们良心不会痛吗？', '你们的外卖员还恐吓吗？', '深圳这周要拿积分要完成330才能拿积分，完不成少4000多块钱，你们良心不会痛吗？', '要从骑手身上赚回60万吗？', '320你来跑啊，艹', '王一博瞎了眼了给你们做代言，害得我都要脱粉了！', '如果不管， 那已联系都市记者， 维护消费权益！ 新闻见吧！', '祝福~', '', '祝福~', '我要牵着你家代言人小哥哥的手走到老', '广州这期的活动要跑320才有奖励，请问现在没单的情况下怎么跑，说好的福利呢，说好的留守高收入呢，欺骗骑手留守，到最后过河拆桥，卸磨杀驴，高层领导是不是过年喝醉酒了，还是情人节没开到房，要如此坑骑手？', '饿了么蜂鸟优选！弄个过年的活动。完成7个星期就有奖金，完成了5期开开心心的。大年初四，深圳商家都不开门。人都没有一个。新的一个星期让你完成320单任务，每天50单，饿了么你是专门折磨骑手的吗？', '评论区', '是吧']"
https://m.weibo.cn/status/K1VucfTsH?mblogid=K1VucfTsH&luicode=10000011&lfid=1076031282440983,Sun Feb 14 20:00:03 +0800 2021,万家.灯火08|廖姐说，今年过年不太冷，鲜花都开得好，可能是春天快来了吧。,133,53,4,"['#年前画大饼，让留在深圳过年跑单，留下跑单了，这才刚过完年，把单量调整到比平时还要高的330单每周，平时都很难完成更别说过年了，完不成任务奖励就别说了，家也没回成！钱也没挣几个，大家说饿了么坑不坑人？？？', '沙币饿了么，说好过年不回家给1万块奖励呢？？？？', '饿了么现在越做越差，外卖送的慢，配送费也高，对骑手的配送费也是能薅就薅，不知道怎么想的，害。。。', '#饿了么过年坑骑手# 年前画大饼，让留在北京过年跑单，留下跑单了，这才刚过完年，把单量调整到比平时还要高的380单每周，平时都很难完成更别说过年了，完不成任务奖励就别说了，家也没回成！钱也没挣几个，大家说饿了么坑不坑人？？？', '饿了么真垃圾', '饿了么平台商家虚假经营？不开店还接单？接了单到了送达时间之后三个钟还没送到？客服不帮忙联系商家，申请退款商家还拒绝了', '', '删我评论，你大爷。', '举报广州市海珠区江南西站站长新人介绍费不发放！', '家和万事兴', '期待春天', '请记住，中国是社会主义国家，任何欺骗藐视践踏工人的企业，将受到社会主义的铁拳。', '饿了么，要脸吗？', '7天320单，刚看新闻看到了，连自家骑手都能恶心一番，成功把吃瓜的也恶心到了', '要点脸吧']"
https://m.weibo.cn/status/K1M3HoQbx?mblogid=K1M3HoQbx&luicode=10000011&lfid=1076031282440983,Sat Feb 13 20:00:03 +0800 2021,万家.灯火07|家劲说，现在跑外卖心里总是暖洋洋的，这万家灯火，也总有一盏是为我。,91,46,6,"['烧伤的师傅怎么样了？', '辛苦了', '刚刚叫了饿了么', '[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]', '举报广州市海珠区江南西站站长新人介绍费不发放！', '新年快乐', '请问如何处理 骑手维权 事情？', '祝幸福久久～', '总有一盏灯为你而亮', '现在是心凉凉的', '首页看不到北京消费券啊为啥呢', '烧伤的骑手怎么样了', '垃圾企业早日倒闭', '请记住，中国是社会主义国家，任何欺骗藐视践踏工人的企业，将受到社会主义的铁拳。', '你让员工心冷！在社会主义国家敲骨吸髓']"
https://m.weibo.cn/status/K1CDcxOM7?mblogid=K1CDcxOM7&luicode=10000011&lfid=1076031282440983,Fri Feb 12 20:00:03 +0800 2021,万家.灯火06|老肖说，我们重庆人说啥新年愿望都只有两个字，雄起！,612,81,28,"['新年快乐！我们四川人也要雄起！', '新年快乐', '新年快乐🥳🥳', '新年快乐', '新年快乐(✪▽✪)', '来讨饭的真可怜', '新年快乐🍾️', '肖战粉丝少带着一坨💩来ky了 大过年的晦不晦气啊，没逼数', '老肖说的对', '加油💪一切都会顺顺利利', '新年快乐', '新年快乐呀', '新年快乐', '老肖说得对', '感动，新年快乐']"
https://m.weibo.cn/status/K1tcIlHh2?mblogid=K1tcIlHh2&luicode=10000011&lfid=1076031282440983,Thu Feb 11 20:00:04 +0800 2021,万家.灯火05|老张说，大家都笑着，才是新的一年的开始啊,80,28,3,"['欢乐中国年！合家团圆，万事顺意！', '消费券在哪', '新年快乐阿饿', '万家灯火，平安喜乐', '深圳这周要拿积分要完成330才能拿积分，完不成少4000多块钱，你们良心不会痛吗？', '还有脸在这发微博，平台一大顿问题，没有客服处理，垃圾平台', '大年初一美团送药要2－4天，饿了么一小时就到了，感谢饿了么，祝生意兴隆', '今天点了3个，3个没人接单', '你怎么还不死', '为什么我加量包涨价这么多，杀猪吗你们。问客服和我装傻，有意思?', '就没骑手接单吗？', '点了外卖 等2个小时没有骑手…早说啊…', '饿了么平台商家虚假经营？不开店还接单？接了单到了送达时间之后三个钟还没送到？客服不帮忙联系商家，申请退款商家还拒绝了', '年货消费券呢？', '[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]']"
https://m.weibo.cn/status/K1piBiBO3?mblogid=K1piBiBO3&luicode=10000011&lfid=1076031282440983,Thu Feb 11 10:03:35 +0800 2021,不出门的过年新姿势，大家get到了嘛#饿了么式就地过年# #过年新姿势#,107,32,6,"['新姿势，外卖员上门骂人', '等着被你们上面威胁吗', '小宝，除夕快乐', '评论好凶。。。', 'yep', '深圳这周要拿积分要完成330才能拿积分，完不成少4000多块钱，你们良心不会痛吗？', '今天被你们外卖员恐吓了哦，怎么，骑手都混黑道的？', '垃圾平台，店大欺客，大过年的从下午4点到现在，换了多个商家下单年夜饭，商家已经做好了，就是没有骑手接单，如果没有骑手为什么还要商家营业，让消费者下单。大家一起12315投诉，让其垃圾平台退出。', 'get你🐴', '@饿了么 订单超时2小时，联系商家未果，我18.16申请取消订单，15分钟内商家不处理仍不给我自动退款，19.11直接显示送达，饿了么平台客服沐沐 拒不承认平台规定，扭曲事实打官腔', '饿了么垃圾到这程度？？？', '踏马的 下单了没有骑手送是咋回事 饿死了么？！', 'get你🐴呢', '垃圾饿了么', '垃圾饿了吗！未经同意单方面取消我的年夜饭订单，而且是在约定的送餐时间一家人等着吃年夜饭的时候。理由是没有骑手无法配送。果断卸载，盼早日黄。']"
