微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/K2CTBie34?mblogid=K2CTBie34&luicode=10000011&lfid=1076033787942764,Fri Feb 19 10:30:45 +0800 2021,杭州周边，有一座从芬兰「漂洋过海」而来的童话木屋。由房东@ Frank 匠心满满的动手能力配合妻子@ 曾曾 天马行空的想法搭建而成。整个房子被淡淡木香包围，不出门就能坐拥整座茶山葱郁景色。戳👉🏻网页链接 ，来看看这栋每走一步，都有新鲜发现的#奇妙民宿#。,131,8,5,"['马住，周末心愿单', '马住', '周末可以去看看', '有意思', '电影即视感', '价格有点贵']"
https://m.weibo.cn/status/K2apEkhkc?mblogid=K2apEkhkc&luicode=10000011&lfid=1076033787942764,Tue Feb 16 10:00:03 +0800 2021,#年初五#，假期临近尾声，抓住机会来一场另类的「挖宝之旅」吧！跟着精通艺术画作的Carine 探访卢浮宫中的艺术瑰宝，为你揭开宝藏背后的创作背景和「彩蛋」故事。戳👉网页链接 参加#爱彼迎线上体验#，不要错过这些世界杰作哦～,107,34,2,"['过年在你这里订了两晚泳池别墅，入住后发现屋内有很多大虫子，而且很多地方描述与实际不符。解决不了问题，我提出退房房东也不退款。联系平台不是打不通就是被挂断，最后过了十多个小时联系上了，告诉我没有拍虫子的图片不负责。那我没住的房费呢？虫子就爬在地上等着我拍？', '贵公司客服电话到底是多少？怎么打都没人接或者直接被挂掉。我大过年的订的房间有问题，房东不退款联系你们联系不上', '大过年的真够添堵的', '房东还威胁说到了入住时间就一分钱不退，完全仗着霸王条款的优势欺负房客。还说把手续费从30%降到50%，帮助我退出，什么叫帮我退出？这么好意思的吗？', '遇到黑心房东，定了15天住宿，遇到需要隔离的情况，房东拒绝入住，并不给退全款；差不多要收取我2万多元的费用，简直黑心！客服也不解决实际问题；', '房东明显歧视大陆人啊！什么叫做不是香港的都不能住？房间描述没写啊！钱都给了说不让住？！什么人啊，外国人就能在香港地盘欺负中国人是吗？还不退全款，这样的房东Airbnb不管的吗？就是赚取消费的黑心房东。如果Airbnb客服没有任何实际作为的话，只能投诉315了。欺人太甚！', '房东不给退全款', '这个可以有哇！', '退款没人理 客服联系不上！！', '房客在入住期间内没有联系房东提出任何质疑，但是退房后，却要求房东赔偿金额88元，如不同意会做差评。经营民宿多年一直没有遇到过这样的事情，及时联系airbnb，但没想到airbnb竟然是支持的，但我没有同意房客的勒索行为，因此遭到恶意差评。非常气愤，airbnb作为民宿平台你的公证在哪里', '房客威胁房东索要赔偿，airbnb平台竟然公然支持，所有入住Airbnb 平台的房东，都需要注意，有房客随意勒索钱财，airbnb竟然支持，以后靠着平台的信誉都可以改行了', '住客二次提供证明的渠道都没有，完全不保护消费者权益，客服完全就是摆设。浪费别人时间和金钱。', '房东在站外额外收取押金，我拒绝想取消订单，房东不同意，现在超时也不给办理入住，客服根本不理。请问你们的处理态度就是这样的？', '让我提供核酸检测证明的理由，非常可笑。入住前两个小时通知我：你好，因为你是外地户籍必须提供核酸检测证明 深圳没有入住要核酸检测的要求，并且近半年我没有离开深圳。', '@Airbnb爱彼迎 请问怎么维护房客的权益']"
https://m.weibo.cn/status/K20Z9tf2T?mblogid=K20Z9tf2T&luicode=10000011&lfid=1076033787942764,Mon Feb 15 10:00:03 +0800 2021,#年初四#，宜登高望远。跟着旅行达人Danny「云爬」长城！站在长城之巅听世界奇迹背后的历史故事与工程壮举。戳👉网页链接 参加#爱彼迎线上体验#，避开人流，一览奇观。,123,11,0,"['真的无语了', '为什么取消预订只能退清洁费', '就是啊 无语死了 客服不懂接电话吗', '今年去北京', '退款没人理，客服联系不上！！', '报名了', '太棒了', '不到长城非好汉', '好喜欢北京', '你们爱彼迎怎么回事一点都不保障客户权益 不对房东进行监管。差劲到家了早点倒闭吧你们。 投诉客服丝毫不作为']"
https://m.weibo.cn/status/K1RyEFtCD?mblogid=K1RyEFtCD&luicode=10000011&lfid=1076033787942764,Sun Feb 14 10:00:03 +0800 2021,#年初三#，宜约会。韩国电视主持人Cyon 将向你传授韩式妆容的秘密所在，从护肤到上妆，收获打造无暇清透妆容的技巧。戳👉网页链接 参加#爱彼迎线上体验#，用一个全新的妆容开启这个#情人节#吧！,120,8,0,"['退款没人理 客服联系不上！！', '春节线上体验太棒了', '喜欢', '拯救手残达人', '种草']"
https://m.weibo.cn/status/K1RaiDdoX?mblogid=K1RaiDdoX&luicode=10000011&lfid=1076033787942764,Sun Feb 14 09:00:03 +0800 2021,这个#情人节#，想住进你「心」里（请看图五）。戳👉网页链接 ，查看更多来自世界各地的浪漫住宿和线上体验。,135,9,4,"['情人节快乐噢！', '好喜欢，好欢喜', '厉害', '爱心的房子第一次见', '太酷了', '喜欢', '@GreyEmily']"
https://m.weibo.cn/status/K1I8a46dm?mblogid=K1I8a46dm&luicode=10000011&lfid=1076033787942764,Sat Feb 13 10:00:03 +0800 2021,#年初二#，宜运动。大鱼大肉过后，是时候来运动消食了。让奥运冠军Kat Copeland做你的私教，用瑜伽舒展身心。戳👉网页链接 参加#爱彼迎线上体验#，新的一年，焕发精气神！,23,6,0,"['好的', '别催了', '马上运动', '吃太多了', '在减肥了']"
https://m.weibo.cn/status/K1yHFz1hO?mblogid=K1yHFz1hO&luicode=10000011&lfid=1076033787942764,Fri Feb 12 10:00:03 +0800 2021,#年初一#，宜访友。来结交一位叫「滚滚」的新朋友，听「动物专家」Bill讲解国宝滚滚是怎样长大的、饭量有多大、平时喜欢做什么。戳👉网页链接 参加#爱彼迎线上体验#，满足你对熊猫宝宝所有的好奇！,138,6,1,"['新年快乐！♥️', '好可爱', '可以自己养吗？', '可爱', '可以带弟弟妹妹一起', '云撸猫？']"
https://m.weibo.cn/status/K1phaFMQF?mblogid=K1phaFMQF&luicode=10000011&lfid=1076033787942764,Thu Feb 11 10:00:04 +0800 2021,#大年三十#，宜团聚。今晚的年夜饭，「拜师」清迈美食达人Mae，让她教你几道地道又好吃的泰国家常菜，还能听她介绍更多当地美食和文化。戳👉网页链接 参加#爱彼迎线上体验#，宅在家里也能变身大厨，给家人朋友露一手。,127,8,0,"['你好，你感兴趣的“年三十”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> 年三十', '新年快乐🎆', '可以', '这个可以！']"
https://m.weibo.cn/status/K1j9ziIzy?mblogid=K1j9ziIzy&luicode=10000011&lfid=1076033787942764,Wed Feb 10 18:24:51 +0800 2021,最后一波吉祥三包🧧，包鸿运、包风光、包幸福。明天中午12点准时开抢，记得定好闹钟哦！,144,13,3,"['知道了知道了 可以删了', '表示三款都已经抢到了', '想要', '没抢到！', '真爱不留白那款还有吗', '已经定好闹钟⏰', '好棒', '这次一定要拿到', '好难抢', '喜欢！', '想要“真爱不留白”那款']"
https://m.weibo.cn/status/K1j2LkTMT?mblogid=K1j2LkTMT&luicode=10000011&lfid=1076033787942764,Wed Feb 10 18:08:04 +0800 2021,恭喜@我过过过过过过儿 1名用户获得【天真蓝coupon】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,1,1,1,['非洲人居然中了！新的一年一定好好营业爱彼迎//@Airbnb爱彼迎:恭喜@我过过过过过过儿 1名用户获得【天真蓝coupon】。微博官方唯一抽奖工具@微博抽奖平台 -中级版对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台']
