微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/D7PyqExNs?mblogid=D7PyqExNs&luicode=10000011&lfid=1076032298955763,Fri Dec 11 00:45:44 +0800 2015,"我在#微盘#找到了一个超赞的文件""《穷查理宝典查理·芒格的智慧箴言录》-20万...""，我已经下载啦，你也看看吧？ 《穷查理宝典查理·芒格的智慧箴言录》-20万字 最完整版.pdf",14,225,16,"['通过链家购买的－华龙苑北里新房，交给链家45万服务费。房产商到期不交房，链家也不管。投诉无门，请链家给个说法。', '垃圾，两套房交给他们，后悔的肠子都青了', '链家公司，服务非常差！一拖再拖，业务员换了又换，最差的体验，银行耽误放贷，下家要我支付1万元，这比费用谁来支付？买进，卖出都是链家地产操作的，收钱了！就不管了，此事情不解决告知天下！', '链家真心垃圾，收了中介费，事办不成，责任推脱到买卖双方', '垃圾链家销售 虎牙主播户外虎子 在三亚直播 有个女的不让虎子照 虎子说给他照他都不照 结果有个男销售把照听成草 就打主播 还骂人家妈 真垃圾', '被链家坑惨了，签什么独家，害我房子两个月没卖出去，挂到其他中介第二天就卖了，还不还我产权证，强卖，太可恨了，我身边亲戚朋友永远不会去链家，销售的还横得很哦，什么态度恶心', '丢人企业 黑心商户', '亲身体会到被链家是如何一房两卖的，投诉还无门！大地产的承诺在哪里？', '昨天看房找了链家 链家着白眼翻得 一室一厅的被嫌弃了一次下 4000左右又被嫌弃 我想知道链家到底有多牛之前找房子第一个想到的是链家 现在是不敢恭维太牛了 我们百姓找不起', '我操你妈链家天天打骚扰电话，你们他妈的除了骚扰不会干点别的！干你老母', '看评论才知道，原来坑了这么多人', '卧槽…终于找到组织了，看来不止我一个人被坑', '没在你家租成房子就电话骚扰我？？', '你们链家的员工很厉害啊 不在你们这里租房子 就把手机号码公布到网上？ 各种骚扰电话 很社会啊！', '房子跟你们苏州链家签了独家两月，结果没卖掉，还错过了最佳卖房时机，现在狂降价了，合同到期了钥匙不归还，签的合同跟谈的内容也不一样，这算欺诈吗？怪自己当初没看清就算了该补偿的五百也不给，信用何在？']"
https://m.weibo.cn/status/AnZEl16Ms?mblogid=AnZEl16Ms&luicode=10000011&lfid=1076032298955763,Thu Dec 19 11:39:43 +0800 2013,赞！,12,83,11,"['房价这样，链家首功,不得好死。', '天天打电话骚扰我，不知道从哪弄到我的资料，以前问我房子要不要卖，现在问我房子要不要租！去你妈咪的！要卖要租都不会找你们！渣的不得了！推高北京上海房价，祸害百姓，这种无良中介应该被取缔才对！', '链家员工太恶心了。我是租户。打电话说是过来看房子。大热天傻乎乎去了说是过来拍个照片。拍你mmp有病吗？？打电话投诉留的工号是假的，手机号打回去不敢承认了说打错了。厉害了', '还说服务好呢，一个房子买了快4个月都还没交付', '听说你们卖危房？', '垃圾公司，完全没有职业道德', '初次来到南京，通过链家签到了被诅咒的房源，中介采取避责推诿拖时间，寒心，动不动还讲什么录音，咬文嚼字，讲个真话这么难吗@左晖@链家@链家花园路@南京@12315', '通过链家购买的－华龙苑北里新房，交给链家45万服务费。房产商到期不交房，链家也不管。投诉无门，请链家给个说法。', '@掌上链家 @链家地产 @链家网 @链家客服 链家经纪人以可以办假离婚证假银行流水为名，诱骗客户购买房产，带交完房子押金和中介费后，提高办证价格且不保证可以妥善办理，致使客户造成严重的经济损失。投诉后，客服人员以事实不成立为由不予处理，告知客户走法律渠道！', '昨天看房找了链家 链家着白眼翻得 一室一厅的被嫌弃了一次下 4000左右又被嫌弃 我想知道链家到底有多牛之前找房子第一个想到的是链家 现在是不敢恭维太牛了 我们百姓找不起', '自如我就问你们是不是涉嫌诈骗？海燕计划规则里明确写的“限2017本科即本科以上毕业生”。客服给我打电话说仅限一本二本，怎么？国家都承认三本是正规院校贵公司认为不是本科呗？既然仅限一、二本，为什么不在规则里写明呢', '哈哈，垃圾链家，我又接到你们的骚扰电话了，两个月前买了房，电话就没断过，三天两个电话的节奏吧，全广州的房子都要问我一遍，客服投诉都没用，这回是3.6的17:06，我每接一次刷一波屏，等你们能解决问题为止', '垃圾公司，你们房子自己留到养老就好，少出来坑人', '真心不靠谱', '辣鸡链家']"
https://m.weibo.cn/status/AieGVxjaI?mblogid=AieGVxjaI&luicode=10000011&lfid=1076032298955763,Mon Nov 11 14:55:30 +0800 2013,【“掌上链家”手机网站全新升级啦！】此次改版除了全面优化原有的二手房和租房频道外，特别新增经纪人、小区、推荐房源等全新频道，让您更快的找到好房、找到优秀的经纪人。全新的个人中心也可随时查看关注房源动态~小清新范儿的全新UI界面很抢眼哦~手机用户直接戳网页链接查看吧~,4,66,9,"['链家员工太恶心了。我是租户。打电话说是过来看房子。大热天傻乎乎去了说是过来拍个照片。拍你mmp有病吗？？打电话投诉留的工号是假的，手机号打回去不敢承认了说打错了。厉害了', '昨天没看房子就和业主谈好179万成交的价格，今天准备看一眼房子去交定金了。可昨晚10点多被链家领着客户抢走了，跟客户说185万业主最低价，结果客户花182万成交，还傻傻乐开了花！无良链家，一步步套路，把刚需买房小青年的辛苦钱都给划了走了！哎！', '//@彡亠静怡：昨天看房找了链家 链家着白眼翻得 一室一厅的被嫌弃了一次下 4000左右又被嫌弃 我想知道链家到底有多牛之前找房子第一个想到的是链家 现在是不敢恭维太牛了 我们百姓找不起', '昨天看房找了链家 链家着白眼翻得 一室一厅的被嫌弃了一次下 4000左右又被嫌弃 我想知道链家到底有多牛之前找房子第一个想到的是链家 现在是不敢恭维太牛了 我们百姓找不起', '哈哈，垃圾链家，我又接到你们的骚扰电话了，两个月前买了房，电话就没断过，三天两个电话的节奏吧，全广州的房子都要问我一遍，客服投诉都没用，这回是3.6的17:06，我每接一次刷一波屏，等你们能解决问题为止', '我只想问为什么链家App的二手成交量这几天都不刷新了？！', '房子跟你们苏州链家签了独家两月，结果没卖掉，还错过了最佳卖房时机，现在狂降价了，合同到期了钥匙不归还，签的合同跟谈的内容也不一样，这算欺诈吗？怪自己当初没看清就算了该补偿的五百也不给，信用何在？', '垃圾链家……不知道哪里搜罗来一群低素质十八线农民工……影响城市市容！！', '我要投诉链家一名新房专员 为何4007001001的电话一直无法打通@掌上链家']"
https://m.weibo.cn/status/AgIHQC6ci?mblogid=AgIHQC6ci&luicode=10000011&lfid=1076032298955763,Fri Nov 01 15:39:32 +0800 2013,人才啊~！诚邀这位帅哥来写掌上链家介绍的英文版,5,18,0,"['初次来到南京，通过链家签到了被诅咒的房源，中介采取避责推诿拖时间，寒心，动不动还讲什么录音，咬文嚼字，讲个真话这么难吗@左晖@链家@链家花园路@南京@12315', '链家员工太恶心了。我是租户。打电话说是过来看房子。大热天傻乎乎去了说是过来拍个照片。拍你mmp有病吗？？打电话投诉留的工号是假的，手机号打回去不敢承认了说打错了。厉害了', '哈哈，垃圾链家，我又接到你们的骚扰电话了，两个月前买了房，电话就没断过，三天两个电话的节奏吧，全广州的房子都要问我一遍，客服投诉都没用，这回是3.6的17:06，我每接一次刷一波屏，等你们能解决问题为止']"
https://m.weibo.cn/status/AcJn1n4cA?mblogid=AcJn1n4cA&luicode=10000011&lfid=1076032298955763,Sun Oct 06 09:59:46 +0800 2013,好样的~,5,6,0,[]
https://m.weibo.cn/status/AcJdfCSCf?mblogid=AcJdfCSCf&luicode=10000011&lfid=1076032298955763,Sun Oct 06 09:35:41 +0800 2013,[带着微博去旅行][带着微博去旅行],1,1,1,[]
https://m.weibo.cn/status/AbOHPfXOE?mblogid=AbOHPfXOE&luicode=10000011&lfid=1076032298955763,Mon Sep 30 09:44:27 +0800 2013,,2,2,0,[]
https://m.weibo.cn/status/AbpcNohv5?mblogid=AbpcNohv5&luicode=10000011&lfid=1076032298955763,Fri Sep 27 16:49:17 +0800 2013,哇，很有创意的造型~~PS：右上角的爪爪，是。。黑白配哦~~,1,1,1,[]
https://m.weibo.cn/status/Abo6epz0j?mblogid=Abo6epz0j&luicode=10000011&lfid=1076032298955763,Fri Sep 27 14:00:25 +0800 2013,【各种姿势晒“掌上链家”，赢百元话费！】掌上链家v4.0上线已有一周，有什么功能让不禁点赞？什么功能让你不得不吐槽？发微博、微信（homelinkyd)告诉我们吧~写上想说的话+一张带slogan的合照并@掌上链家，我们将选出20位小伙伴发放礼品~ 快来发微博、微信告诉我们吧~我们会选20位小伙伴送出礼品哦~,0,2,1,[]
https://m.weibo.cn/status/Ab4sEuemF?mblogid=Ab4sEuemF&luicode=10000011&lfid=1076032298955763,Wed Sep 25 12:00:43 +0800 2013,“Mr.张，您看上的那房子最近可火了，再不定就来不及了！”...心中默念:中介就知道忽悠人。。。Stop!在链家，这事儿真不是忽悠。7天内，这房子又有23拨客户看过，其中，80%至少看过两套与您一样的房源。最可怕的是，他们都装了新版的掌上链家。。。所以，下载传送门>>网页链接,0,3,5,[]
