微博地址,发布时间,微博内容,点赞数,评论数,转发数,评论
https://m.weibo.cn/status/JuKJ6lsgw?mblogid=JuKJ6lsgw&luicode=10000011&lfid=1076035712515570,Fri Nov 20 11:11:04 +0800 2020,天气转冷，疫情或有反复，大家仍需注意防护。小编温馨提醒大家：做好日常防护，佩戴口罩，勤洗手，减少人群聚集。,8320,15778,661,"['现在都交不了服务费了，为什么还一直给我发短信说逾期支付，要冻结门锁，可是我不是不交，晚了一天之后想交就交不了了，怎么办呀，门锁会锁住吗？我好也担心呀，现在管家和客服都不搭理我，我谁都联系不上这种情况怎么办', '请问小编 周六日公司有工作人员吗？', '年付用户的日常探望', '年付用户 蛋壳挺住💗', '蛋壳啊！你要给我挺住啊，我不想换房子', '蛋壳加油第九天！！！！！！加油加油加油！争取早日退我返现和押金', '来看蛋仔的第八天[加油]', '年付用户的日常探望', '不想搬家 壳壳 不想看到房东 壳壳', '大壳子，是我们在外漂泊人的家啊！一定要挺住', '蛋壳，我现在每日一看。要挺住呀。半年房租', '挺住啊', '挺住呀！', '快翻盘！！！', '昨天还交了水燃气费，蛋仔仔挺住[加油]']"
https://m.weibo.cn/status/JuBeV7SiS?mblogid=JuBeV7SiS&luicode=10000011&lfid=1076035712515570,Thu Nov 19 11:01:59 +0800 2020,小编接到用户反馈有个别人以帮助办理退租结算为由私下额外收取手续费的情况，在此温馨提醒广大租户朋友不要轻信，以免造成经济损失。目前退租结算有所延缓，但所有的退租办理均在有序进行中，请耐心等待。,2042,2979,200,"['我不退 你顶住', '挺得住嘛，我不打算退', '小蛋，顶得住嘛，现在好慌', '一次性交了一年39000的房租，到明年五月，铁蛋公寓加油', '没退的加一', '肯定多住一天是一天。房东撵人是最省事的，最不受损失的，所以他才撵你，别以为直接跟你签是对你好。朋友们，不要天真', '年付租金贷，今天照常看你~一定要挺过去，蛋壳公寓其实如果不是这次风波闹得，很得人心的，起码我觉得挺好的！', '年费到明年五月的，还没退。', '还有假冒房东上门来给你签合同，让你直接房租转给她的，连个房产证都拿不出来的还在那装。。', '我不退 你要顶住 不想搬家', '我不退，快点度过这个时刻吧，相信你们。希望你们别让我们这刚进入社会的大学生失望，我和我室友们都不退。', '来看蛋仔的第七天[加油]', '顶住 股价又翻倍了', '年付没退，顶住', '不想退，不想搬家啊 你们坚持']"
https://m.weibo.cn/status/JurK02PdZ?mblogid=JurK02PdZ&luicode=10000011&lfid=1076035712515570,Wed Nov 18 10:51:05 +0800 2020,今天只想和你说一句“注意保暖”❤️,1969,2481,93,"['什么意思什么意思我好慌', '杭州今天30度', '来自年付用户的日常探望', '受不了那些只会落井下石，墙倒众人推的人，蛋壳目前还在努力挣扎没有跑路，你们这样只会让他更陷入危机。还有圈里那些竞争公司的人，成天发圈诋毁蛋壳，拉拢客户，有意思吗，没准下一个倒霉的就是你。总之希望蛋壳能挺过这一关，不要让相信你的人失望。', '蛋壳股票大涨啊，要打翻身仗了？加油啊', '来自年全款用户的日常问候。一定要挺住！！！！！！！', '请不要杞人忧天。两三个月前，也有不少租房中介爆雷，最后还是都被政府妥善解决了呀！这些租客和房东请记住，你是在中国生活，而不是在美国！最后大家都会得到公平的结果，该赔偿的，该规范的都不会少！希望都冷静一下，在网上大呼小叫就是给祖国添乱。', '如果这次你熬过来 我还继续租你', '我不想直租 不想遇到黑心房东 蛋壳 加油啊', '挺住啊，蛋壳', '你不凉我就能温暖~年付租户的探望~', '这次你渡劫成功 我以后都选蛋壳！', '来自上海断网用户的慰问，加油！', '蛋壳还是挺给给力的，房租不贵，服务也到位，不需要直接跟房东打交道，希望这次你们能挺住吧！住了一年多，还希望住下去。', '真的还是很喜欢蛋壳的，不然也不会续租，蛋壳你一定要挺住啊！我刚续租，也才毕业一年多，贷款真的还不起啊，我不想过年了还赌债回家']"
https://m.weibo.cn/status/Juj5aoDUQ?mblogid=Juj5aoDUQ&luicode=10000011&lfid=1076035712515570,Tue Nov 17 12:48:31 +0800 2020,网传“蛋壳公寓杭州分公司停止运营”。假的！！！,2094,2618,112,"['想请问微众让我们登记是个什么情况？', '加油挺住啊（来自年租用户探望）', '这次要能坚持住，比做个百亿广告还划算', '你要经常发点微博跟大家沟通着！商场如战场！你这落难，落井下石比比皆是，准备分你市场呢！！', '刚交了下个季度的租金，在你生死存亡之秋在下毅然决定相信你，支持你！希望贵公司也不要令千千万万个我失望！[鮮花]', '章都没有!肯定是假的!（我刚租了，它不能是真的啊）', '壳壳，撑过这一关，以后广告费都不用出了', '挺住呀 兄弟，我是住了半年的租客了，加油💪', '加油啊，我们只想安心的住下去', '你最好挺住', '可挺住啊，我房租付到2021年底了', '这是住蛋壳的第三年，因为一直住的很舒服，所以年初的那些风波都相信会过去，第三年还是选择你们，这次风波又出现，相信你们还是会挺过去找不到比现在更舒服的房子了', '真的第一次看所有的评论都是加油打气的加油呀', '相信蛋壳，加油💪', '住了两年多的老住户，希望蛋壳度过难关']"
https://m.weibo.cn/status/JuiuhicBm?mblogid=JuiuhicBm&luicode=10000011&lfid=1076035712515570,Tue Nov 17 11:17:38 +0800 2020,真爱无敌！谢谢各位！同在！#蛋壳挺住#,1608,1219,65,"['壳壳加油（年付租户的日常探视）', '不坚持下去，我们这些毕业生，真的很难活了，蛋壳加油', '破壳坚持住啊，你若破了得碎多少孩子的北漂梦啊', '挺住啊，我是业主~', '为什么不想直租 就是因为不想和房东直接交涉 好房东难以相遇 所以选择蛋壳', '壳壳加油 挺住 每天看到你的微博也都会心安些', '加油', '租过蛋壳公寓有半年，才知道什么叫做服务贴心。虽说回家住了，因为疫情期间公司倒闭了。但是将来再租房，还是选择蛋壳公寓。蛋壳加油', '其实平台的经营理念是很不错的，还是希望你们做下去！', '来看蛋仔的第五天[加油]', '希望你坚持住啊', '蛋壳加油加油', '一定要每天更新动态啊', '打开很久没有登录的微博，只是来给蛋壳加油，上个月刚签了第三年的续租', '时刻关注着你，你一定要挺住啊']"
https://m.weibo.cn/status/JuaZtDBDQ?mblogid=JuaZtDBDQ&luicode=10000011&lfid=1076035712515570,Mon Nov 16 16:12:32 +0800 2020,感谢大家的关心和支持，我们没有破产，也不会跑路！请不要信谣传谣！,16793,16034,3149,"['真的吗', '蛋壳你千万别破产啊，你破产我也破产了', '给我撑住！年付到明年9月呢！', '破壳坚持住！！！来自北京！', '挺过去了你就是镀金的蛋壳了', '墙倒众人推的窘境，必然面对行业其他从业者的挤压，希望你挺住', '有些人是真的坏，越是造谣，越是不合理维权，就越是会引发恐慌，就越是会造成挤兑效应，就越是资金短缺，就越是乱象横生！蛋壳真是要跑路的话早就跑路了，没必要撑到现在！妈的我付了一年的租金，住得好好的，距离上班的地方不到两公里，还是希望蛋壳好好活下去。', '看评论竟然有点感动，都是为了生活，希望大家可以一起渡过难关', '挺住啊，蛋壳宝宝。已经背井离乡了。不想还在他乡被赶出去', '我昨天因为听到你们要倒闭，喝了一大瓶红酒喝完我就哭怕没地方住 你们要挺住啊！！！坐标深圳', '一定要坚持到明年6月份啊！！！！', '别说了 看图吧', '蛋蛋，换个名字吧，不如叫金蛋银蛋铁道！必须坚硬起来！', '相信，您，因为你们很不容易，希望坚持，不知道为什么会有造谣，但是对你们肯定是有影响的，返现可以欠着无所谓，但是，你们公司需要坚持住，以免那么蛋友担心你们， 加油。目前除了返现和保洁，其他一切正常！不信谣不传谣，作为租户愿意给你们时间去解决问题！不要让我们失望呀！加油', '我住过蛋壳，其实挺好的，就是疫情和谣言给蛋壳带来太多负面，蛋壳加油']"
https://m.weibo.cn/status/Ju9rqDOQK?mblogid=Ju9rqDOQK&luicode=10000011&lfid=1076035712515570,Mon Nov 16 12:15:54 +0800 2020,来了，在的💪～,1585,1112,42,"['我新老合同加起来还有14个月呢？蛋壳只要挺住不破壳，我指定不退不闹，求挺住。', '你tm要挺住啊。那么多年轻人，大冬天的，不要让大家流浪街头。', '心疼蛋壳，这种高压的情况下没跑路，一定是在想尽办法融资，想翻盘，加油啊蛋壳能行[加油]', '挺住蛋壳 我们在上海还在坚持', '求你 挺住。不然我们这些打工的都得冻死在这个冬天', '挺住！！！', '你要挺住啊 我们那么相信你啊，', '你在就好 挺住', '挺住', '小蛋壳，你加油！！', '挺住加油💪', '加油啊', '加油呀！！', '我都快哭了 。挺住 。做为房东能放宽期限。钱迟给也行 。但是不要破产啊 。', '挺住啊……坐标上海 我不希望房东出面赶人 不想搬家 不想背一身债 希望你们能好好的！！！！']"
https://m.weibo.cn/status/JtZwY1p7P?mblogid=JtZwY1p7P&luicode=10000011&lfid=1076035712515570,Sun Nov 15 11:02:04 +0800 2020,据中国天气网，14日夜间至17日华北黄淮等地有雾霾天气。这次雾和霾天气过程，可能是今年下半年来最严重的一次。所处这些地区的小伙伴尽量减少室外活动，如需外出记得佩戴口罩，既可以防疫，又可以防霾。#下半年来最严重的雾和霾#,1578,1001,47,"['每日祝福，蛋壳挺住。[加油][加油][加油]（来自年付租户）', '壳壳 今天房东来敲门了 壳壳 你要顶住啊 我们好多人 需要你 你要加油啊', '你可以晚点返现给我，但是，拜托撑住……不要让房东来把我们赶走！！！出去流浪', '蛋壳公寓，千万别倒，牵扯十万万人的民生啊。', '挺住阿，我们在深圳，还是年付，你倒了我们得亏多少钱阿我们在深圳工作不容易的', '你别走！我不想去租自如，自如自打知道你有危机以后，就一直在损你！而且他还哄抬价格！我不想租他！你加油啊！实在不行搞个集资吧！', '蛋壳加油吧，南京玄武区租户来打卡，希望度过这次浩劫', '壳壳，坚挺你，刚交了一年房租', '加油', '撑住啊！付了一年的房租，这才过了3个月', '打工人来看打工蛋第一天。', '加油呀壳壳，能不能继续住下去就看壳壳了，现在自如涨价，别的中介也信不过，挺住壳壳', '生日愿望：蛋壳生意兴隆（来自每月2000元返现租户）', '破壳 今天也要加油哦', '融到资吧，融到资吧，2020让蛋壳融到资吧']"
https://m.weibo.cn/status/JtQh8eBft?mblogid=JtQh8eBft&luicode=10000011&lfid=1076035712515570,Sat Nov 14 11:28:20 +0800 2020,今天是#世界糖尿病日# ，糖尿病不再只是老年疾病，对于缺乏运动、“三高”饮食、吸烟、喝酒、熬夜、久坐的年轻人也是糖尿病高发人群。预防糖尿病简单来说就是“管住嘴，迈开腿”，科学饮食，适当锻炼。周末的第一天叫上好友到室外适度运动是个不错的选择哦。,429,630,11,"['今天的蛋壳为什么没有回复我们', '我房租可是一口气交完了你要坚持住哇', '早安 蛋壳 看到你在很安心', '挺住啊，蛋仔，我年付还有11个月到期', '加油，挺住啊！房东40万人，租户那简直是几倍人，都指着蛋壳公寓生活呢……可不能倒下啊！加油💪', '加油蛋仔！！！每天都来看你', '加油 蛋壳[加油]', '加油蛋壳 我还想继续住呢 希望尽快找到大金主 稳住房东', '蛋壳，一定要挺住啊，阿里腾讯国家求求你们帮一下吧', '蛋壳加油', '蛋壳给我奥利给!', '加油 蛋壳', '蛋蛋加油加油', '我觉得蛋壳挺好用的，你们完善下现在的缺点就好啦', '壳壳加油💪']"
https://m.weibo.cn/status/JtGnGfDBt?mblogid=JtGnGfDBt&luicode=10000011&lfid=1076035712515570,Fri Nov 13 10:17:00 +0800 2020,#同仁堂推出中药咖啡#打工人干了这杯咖啡☕️,784,961,26,"['这个冬天暖一点，蛋壳加油挺住。这么多租户为你加油打气呢', '作为一个两年多的蛋壳租户，力挺蛋壳加油💪 但我希望博主每天的动态是随心发的，而不是为了发一条动态想很久', '看到你在就安心了加油！', '无论多么不满，只想说一句给老子挺住。我不想搬家！搬进来那天东西塞满了车上所有空间，还下着大暴雨，才住了三个月还是租金贷钱可以迟点给我，但是别倒了，让我苟完这一年', '加油啊，刚毕业第一年不容易，刚续租了一年，一定要挺住，不然我就完犊子啦！', '希望你们能度过危机！！在我17年刚毕业来北京住了两周被黑房东骗了之后，就来到了蛋壳，之后一直住，看到这样的消息真的很难过，但是真的希望挺住，蛋壳好了我才有安家之地，希望所有住蛋壳的租户是可以相信自己当初的选择而不是在出事了第一时间就落井下石。慌既然解决不了问题，那就少说话静观其变。', '蛋壳你必须好好的挺住 加油[加油][加油][加油][加油]', '作为一个蛋壳租户，希望壳壳能停过这次寒冬', '稳住啊 我太慌了', '你来啦，每天来报道，加油💪', '稳住小壳壳！', '蛋壳壳，撑住吖！！！住的很舒服真的不想搬家', '蛋蛋加油', '蛋仔你来了', '打工人挺住！']"
